N	2gram	Trubetskoy_1	FransuaR
1	и в	26	49
2	то есть	4	32
3	прежде всего	2	19
4	в его	5	18
5	не только	10	17
6	и на	2	17
7	и не	8	15
8	в этом	15	15
9	в них	2	13
10	только в	4	13
11	но и	9	13
12	в эпоху	7	13
13	во время	4	12
14	как бы	12	11
15	в этой	4	10
16	все это	6	9
17	для него	3	9
18	в нем	4	9
19	отношение к	5	8
20	все же	6	7
21	один из	2	7
22	жизни и	2	7
23	не может	4	7
24	таким образом	22	7
25	то же	4	7
26	все эти	6	7
27	именно в	2	6
28	то что	7	6
29	же время	2	6
30	во всех	2	6
31	так и	6	6
32	сказать что	2	6
33	и с	10	6
34	точки зрения	13	6
35	в то	4	6
36	так как	9	6
37	с его	2	5
38	никогда не	5	5
39	в своем	3	5
40	уже в	2	5
41	из этих	10	5
42	в начале	2	5
43	но не	8	5
44	при этом	3	5
45	тот же	2	5
46	может быть	10	5
47	и потому	6	5
48	относится к	2	5
49	с точки	6	5
50	в эту	2	5
51	с другой	8	4
52	и к	5	4
53	в себе	6	4
54	том что	7	4
55	но все	7	4
56	и о	3	4
57	благодаря этому	2	4
58	в этих	4	4
59	сих пор	5	4
60	до сих	5	4
61	не было	2	4
62	а в	4	4
63	лишь в	5	4
64	как на	8	4
65	в области	9	4
66	но в	7	4
67	связана с	2	3
68	с одной	7	3
69	в течение	4	3
70	превращается в	2	3
71	в одном	3	3
72	на все	2	3
73	что он	4	3
74	в том	11	3
75	и перед	2	3
76	в значительной	3	3
77	связанных с	2	3
78	одной стороны	7	3
79	из них	7	3
80	несмотря на	6	3
81	в самом	4	3
82	наконец в	2	3
83	и особенно	2	3
84	мы видели	2	3
85	связан с	2	3
86	связь с	2	3
87	этом отношении	2	3
88	и все	2	3
89	культуры и	3	3
90	к нему	7	3
91	народная культура	2	3
92	далеко не	4	3
93	о том	6	3
94	и это	2	3
95	в виду	2	3
96	учение о	4	2
97	связи с	9	2
98	что в	9	2
99	перестает быть	2	2
100	в качестве	3	2
101	в смысле	4	2
102	на то	2	2
103	можно сказать	3	2
104	в отношении	6	2
105	в самой	2	2
106	по существу	2	2
107	культура в	3	2
108	все что	2	2
109	связанные с	7	2
110	по сравнению	2	2
111	так например	2	2
112	связано с	2	2
113	и после	2	2
114	еще не	2	2
115	и другие	3	2
116	со всеми	2	2
117	вплоть до	2	2
118	очень много	2	2
119	одним из	2	2
120	в мире	5	2
121	вместе с	15	2
122	характер носят	2	2
123	было конечно	2	2
124	целый ряд	4	2
125	должен был	4	2
126	всех других	2	2
127	в связи	3	2
128	пор еще	2	2
129	ко всему	2	2
130	того чтобы	5	2
131	и даже	3	2
132	так же	5	2
133	особенно в	2	2
134	во всяком	6	2
135	одной из	5	2
136	мы должны	6	2
137	и т.д	6	2
138	сравнению с	2	2
139	в конце	6	2
140	всяком случае	6	2
141	мы можем	2	2
