N	2gram	Bakhtin_Pr_3	Otkroven
1	у него	4	22
2	у достоевского	13	19
3	и в	34	19
4	но и	12	13
5	и не	29	13
6	в этом	16	12
7	из подполья	36	11
8	а не	9	11
9	не в	9	11
10	может быть	19	11
11	не только	10	11
12	и все	19	10
13	вопрос о	2	10
14	в нем	19	10
15	никогда не	8	9
16	не было	2	9
17	в человеке	2	9
18	потому что	12	9
19	прежде всего	15	9
20	и он	2	8
21	лишь в	5	7
22	но он	3	7
23	до конца	3	7
24	от него	6	7
25	ивана карамазова	3	7
26	он не	15	7
27	в его	22	7
28	все это	16	6
29	как и	18	6
30	то что	11	5
31	а в	5	5
32	записок из	3	5
33	достоевского и	3	5
34	отношение к	6	5
35	в том	3	5
36	для достоевского	4	5
37	для него	13	5
38	в самом	8	5
39	в творчестве	3	5
40	с его	6	4
41	и мысли	2	4
42	в преступлении	2	4
43	т е	12	4
44	он сам	5	4
45	что не	7	4
46	и его	16	4
47	все эти	4	4
48	человек и	2	4
49	не может	19	4
50	что в	7	4
51	него и	2	4
52	в романах	3	4
53	записках из	2	3
54	к нему	14	3
55	достоевского в	3	3
56	романах достоевского	3	3
57	это не	5	3
58	и вот	5	3
59	что он	23	3
60	того что	5	3
61	хотя бы	5	3
62	еще не	4	3
63	и от	5	3
64	и ее	2	3
65	в себе	6	3
66	было бы	2	3
67	когда он	2	3
68	о том	2	3
69	с ним	8	3
70	в записках	3	3
71	как бы	27	3
72	это было	3	3
73	в этот	2	2
74	ивана и	2	2
75	уже в	3	2
76	все же	7	2
77	что и	5	2
78	он в	4	2
79	в душе	2	2
80	и для	8	2
81	с тем	5	2
82	достоевского нет	3	2
83	так и	6	2
84	в своем	2	2
85	что у	6	2
86	что же	8	2
87	как к	4	2
88	что все	4	2
89	по себе	3	2
90	и к	12	2
91	должно быть	3	2
92	в ее	3	2
93	в которой	2	2
94	том что	3	2
95	так что	5	2
96	в другом	8	2
97	и на	6	2
98	и то	3	2
99	что они	6	2
100	сказать что	2	2
101	и с	15	2
102	совсем не	3	2
103	тем что	4	2
104	даже и	4	2
105	его в	4	2
106	героев достоевского	4	2
107	в своей	3	2
108	так как	4	2
109	ничего не	4	2
110	хотя и	3	2
111	к ней	2	2
112	но в	16	2
113	много раз	2	2
114	и потому	2	2
