N	2gram	Losev_Dial_3	Istorich
1	и в	24	26
2	т е	48	22
3	так как	6	18
4	никогда не	7	13
5	потому что	7	13
6	что в	7	12
7	таким образом	13	12
8	в том	5	12
9	и на	3	12
10	в этом	8	12
11	может быть	13	11
12	с другой	4	10
13	том что	8	10
14	и т	24	10
15	и не	27	10
16	не только	23	10
17	что он	13	9
18	еще не	2	9
19	но и	9	9
20	а именно	2	9
21	в нем	3	8
22	все же	3	8
23	на небо	2	8
24	другой стороны	2	8
25	т д	23	8
26	все эти	3	8
27	и это	4	8
28	превращается в	6	7
29	уже не	5	7
30	с одной	3	7
31	одной стороны	3	7
32	например в	2	7
33	и его	5	7
34	у него	2	7
35	о том	6	7
36	но в	2	7
37	то что	14	6
38	мы уже	3	6
39	ее в	2	6
40	так в	2	6
41	не может	19	6
42	в виде	8	6
43	и с	6	6
44	мы не	5	6
45	же мы	2	5
46	чаще всего	2	5
47	в жертву	2	5
48	и эти	2	5
49	у нас	4	5
50	как и	7	5
51	нас к	2	5
52	в ней	2	5
53	в его	2	5
54	то это	9	5
55	не будет	3	5
56	так и	5	5
57	то же	6	5
58	и что	15	5
59	как это	5	5
60	тем что	3	5
61	в то	5	5
62	только в	5	5
63	и этим	3	5
64	есть и	12	4
65	в мифе	13	4
66	это не	4	4
67	из этих	2	4
68	прежде всего	8	4
69	зависит от	2	4
70	с его	2	4
71	но это	5	4
72	все что	3	4
73	как бы	3	4
74	и тем	2	4
75	что и	6	4
76	что оно	7	4
77	как мы	2	4
78	и он	2	4
79	и по	2	4
80	но как	2	4
81	при помощи	3	3
82	и ее	3	3
83	если бы	6	3
84	в частности	2	3
85	могут быть	2	3
86	в них	5	3
87	на котором	2	3
88	вообще не	2	3
89	и от	3	3
90	должна быть	6	3
91	вопрос о	5	3
92	меня в	2	3
93	на первый	4	3
94	так что	8	3
95	не в	3	3
96	же как	2	3
97	они не	2	3
98	то время	4	3
99	кроме того	6	3
100	она не	3	3
101	показывает что	2	3
102	от того	4	3
103	другими словами	7	3
104	из этого	2	3
105	что она	9	3
106	со стороны	2	3
107	только одна	3	3
108	а в	2	3
109	при этом	2	3
110	и вот	2	3
111	имеется в	3	3
112	из которых	3	3
113	как на	5	3
114	время как	4	3
115	или в	2	3
116	меня и	2	3
117	в своих	2	3
118	в данном	2	3
119	и то	4	3
120	их в	2	3
121	сказать что	4	3
122	и только	6	3
123	же можно	2	3
124	в себе	2	3
125	не было	3	3
126	превратился в	2	3
127	с этой	5	2
128	перед нами	3	2
129	есть еще	3	2
130	все время	3	2
131	и как	8	2
132	в своем	3	2
133	что у	2	2
134	отличается от	8	2
135	в одной	3	2
136	с этим	3	2
137	первый план	4	2
138	вовсе не	13	2
139	утверждать что	6	2
140	на то	3	2
141	к тому	4	2
142	мы знаем	3	2
143	для нас	2	2
144	что иное	6	2
145	солнце и	2	2
146	одна из	3	2
147	есть душа	2	2
148	но не	2	2
149	так же	4	2
150	только он	2	2
151	что мы	8	2
152	было бы	5	2
153	миф и	3	2
154	никто не	2	2
155	но для	2	2
156	всяком случае	2	2
157	не есть	54	2
158	не имеет	11	2
159	этот миф	3	2
160	жизни и	5	2
161	ни в	9	2
162	и миф	3	2
163	что же	11	2
164	целый ряд	2	2
165	то и	3	2
166	точно так	2	2
167	или же	3	2
168	он не	5	2
169	только что	4	2
170	и они	2	2
171	также не	3	2
172	обе стороны	2	2
173	тем самым	3	2
174	а не	26	2
175	того что	12	2
176	и больше	4	2
177	что не	5	2
178	должны быть	3	2
179	его не	2	2
180	что этот	2	2
181	людей и	2	2
182	во всяком	2	2
183	быть только	2	2
184	он и	3	2
185	миф о	3	2
186	зависимости от	3	2
187	но вот	2	2
188	что это	12	2
189	и формы	2	2
190	когда мы	2	2
191	мира и	3	2
192	не вполне	2	2
193	ничего не	17	2
194	нет ни	2	2
195	е в	4	2
196	значит что	24	2
