N	2gram	Vinokur_Vv_1	SlovoVZh
1	не может	13	16
2	точки зрения	7	14
3	может быть	24	14
4	и его	5	13
5	как бы	5	13
6	таким образом	19	12
7	и в	27	12
8	отношению к	4	11
9	по отношению	4	11
10	и не	13	10
11	если бы	2	9
12	так как	13	9
13	прежде всего	8	8
14	сказать что	5	7
15	в нем	13	6
16	при этом	3	6
17	в том	31	6
18	только в	13	6
19	в ней	3	6
20	и др	2	5
21	то что	17	5
22	должна быть	2	5
23	никогда не	3	5
24	а не	3	5
25	можно сказать	3	5
26	то же	8	5
27	хотя бы	5	5
28	как и	5	5
29	том что	26	5
30	что мы	2	5
31	но в	10	5
32	в виду	4	5
33	все же	8	4
34	отношение к	3	4
35	жизни и	2	4
36	от того	3	4
37	с другой	8	4
38	уже не	5	4
39	что не	5	4
40	не в	8	4
41	в этом	34	4
42	и на	3	4
43	его в	6	4
44	дело в	3	4
45	в самом	12	4
46	к нему	2	4
47	свое выражение	3	4
48	не только	21	4
49	в котором	4	3
50	в них	4	3
51	отношении к	2	3
52	и уже	3	3
53	не к	2	3
54	не менее	8	3
55	в своей	4	3
56	быть и	2	3
57	сих пор	5	3
58	все это	6	3
59	и вообще	3	3
60	все эти	3	3
61	так называемой	3	3
62	ясно что	9	3
63	по себе	9	3
64	но и	5	3
65	произведения и	2	3
66	того что	12	3
67	тем не	8	3
68	да и	4	3
69	так же	3	3
70	самом деле	6	3
71	мы не	2	3
72	и с	2	3
73	о том	15	3
74	нуждается в	2	3
75	и ее	4	3
76	в себе	4	3
77	до сих	5	3
78	еще не	4	3
79	только на	3	3
80	и для	4	3
81	здесь не	2	3
82	между тем	8	3
83	истории литературы	3	2
84	уже в	5	2
85	с этой	4	2
86	зависит от	3	2
87	что и	3	2
88	независимо от	3	2
89	но все	3	2
90	что в	11	2
91	данном случае	5	2
92	вместе с	6	2
93	в этих	3	2
94	в форме	2	2
95	в своем	3	2
96	в отношении	2	2
97	в какой	4	2
98	другой стороны	5	2
99	это не	8	2
100	дело с	6	2
101	мы имеем	3	2
102	в особенности	4	2
103	тогда когда	3	2
104	с одной	4	2
105	к этому	3	2
106	его к	2	2
107	и что	4	2
108	с чисто	2	2
109	этой стороны	2	2
110	не есть	4	2
111	но зато	2	2
112	с точки	2	2
113	же самое	2	2
114	сливается с	3	2
115	как на	11	2
116	стороны и	3	2
117	и те	2	2
118	в данном	11	2
119	и то	5	2
120	мы можем	2	2
121	но не	7	2
122	могут быть	4	2
123	но что	3	2
124	до конца	3	2
125	в то	5	2
126	одной стороны	4	2
127	и совершенно	2	2
128	литературы с	2	2
129	если же	2	2
130	как уже	2	2
131	в чем	4	2
132	как это	5	2
133	ничего не	2	2
134	в его	10	2
135	между ними	2	2
