N	2gram	Trubetskoy_1	StatiiOP
1	и в	26	44
2	в том	11	36
3	что в	9	30
4	том что	7	29
5	в этом	15	21
6	то что	7	18
7	не только	10	18
8	а в	4	17
9	о том	6	17
10	и не	8	16
11	а не	5	16
12	может быть	10	15
13	в области	9	14
14	не в	2	12
15	в этой	4	11
16	того чтобы	5	11
17	точки зрения	13	11
18	ясно что	3	10
19	для того	5	10
20	что он	4	10
21	но и	9	10
22	но в	7	10
23	только в	4	10
24	в отношении	6	9
25	с другой	8	9
26	если бы	3	9
27	в то	4	9
28	того что	3	9
29	так и	6	9
30	в его	5	9
31	во всех	2	8
32	все же	6	8
33	из них	7	8
34	не может	4	8
35	с точки	6	8
36	прежде всего	2	7
37	так например	2	7
38	в самом	4	7
39	сих пор	5	7
40	до сих	5	7
41	таким образом	22	7
42	этом отношении	2	7
43	сказать что	2	7
44	потому что	7	6
45	из этих	10	6
46	так что	3	6
47	для него	3	6
48	что и	6	6
49	именно в	2	6
50	во всяком	6	6
51	хотя бы	3	6
52	всяком случае	6	6
53	не менее	3	5
54	никогда не	5	5
55	так же	5	5
56	вплоть до	2	5
57	что мы	2	5
58	в котором	4	5
59	в нем	4	5
60	жизни и	2	5
61	все это	6	5
62	то же	4	5
63	и даже	3	5
64	и по	4	5
65	в которых	4	5
66	все эти	6	5
67	так как	9	5
68	что это	3	4
69	представление о	6	4
70	же время	2	4
71	но все	7	4
72	должна была	2	4
73	и что	4	4
74	в качестве	3	4
75	но если	2	4
76	как бы	12	4
77	на то	2	4
78	в россии	2	4
79	не было	2	4
80	в новом	2	4
81	и сейчас	2	4
82	не имеет	5	4
83	в которой	3	4
84	к которому	2	4
85	а с	7	3
86	во время	4	3
87	и с	10	3
88	с этой	3	3
89	в конце	6	3
90	очень мало	4	3
91	в начале	2	3
92	же как	3	3
93	но не	8	3
94	того же	6	3
95	еще не	2	3
96	и для	5	3
97	общего с	2	3
98	или иное	2	3
99	отношению к	3	3
100	что о	2	3
101	ничего общего	2	3
102	и только	4	3
103	в виде	4	3
104	с одной	7	3
105	что оно	4	3
106	но с	3	3
107	лишь в	5	3
108	на этот	4	3
109	в таком	3	3
110	в результате	3	3
111	то или	2	3
112	к сожалению	3	3
113	связанные с	7	3
114	между тем	2	3
115	том числе	5	2
116	что все	4	2
117	уже в	2	2
118	из которого	3	2
119	при таком	2	2
120	в этих	4	2
121	в своем	3	2
122	превращается в	2	2
123	как о	3	2
124	по крайней	5	2
125	больше чем	2	2
126	не всегда	2	2
127	крайней мере	5	2
128	по существу	2	2
129	если не	2	2
130	к концу	3	2
131	при этом	3	2
132	быть и	2	2
133	случае не	3	2
134	ни один	2	2
135	и перед	2	2
136	одной стороны	7	2
137	со всеми	2	2
138	несмотря на	6	2
139	должно было	2	2
140	и потому	6	2
141	а также	2	2
142	если в	3	2
143	так называемой	2	2
144	тем не	3	2
145	отношение к	5	2
146	которые в	2	2
147	никем не	2	2
148	можно назвать	2	2
149	конечно не	2	2
150	и тогда	4	2
151	целый ряд	4	2
152	для этого	2	2
153	начиная с	2	2
154	в эпоху	7	2
155	в пользу	2	2
156	так или	3	2
157	и у	8	2
158	свидетельствует о	2	2
159	в других	3	2
160	и те	3	2
161	или иначе	3	2
162	числе и	4	2
163	одно из	2	2
164	он не	4	2
165	в себе	6	2
166	по своей	2	2
167	о котором	2	2
168	не могла	2	2
169	и все	2	2
170	и это	2	2
171	к нему	7	2
172	должен был	4	2
173	мы имеем	2	2
174	то есть	4	2
