N	2gram	Losev_Prob_2	OGranits
1	и в	35	13
2	прежде всего	11	9
3	не может	13	8
4	и не	37	8
5	может быть	18	8
6	и их	3	7
7	точки зрения	2	7
8	в его	7	7
9	таким образом	4	6
10	не только	24	6
11	то что	38	6
12	только в	14	6
13	мы должны	3	6
14	как бы	4	6
15	все же	8	5
16	языка и	5	5
17	но ведь	3	5
18	хотя бы	12	5
19	и наконец	3	5
20	то же	5	4
21	не является	7	4
22	тех пор	4	4
23	но мы	3	4
24	до тех	4	4
25	все это	4	4
26	еще и	5	4
27	только и	3	4
28	лишь в	3	4
29	мы не	7	4
30	мы можем	6	4
31	было бы	8	4
32	но в	6	4
33	что в	11	3
34	но и	16	3
35	так и	7	3
36	что же	9	3
37	в их	3	3
38	как системы	2	3
39	и все	5	3
40	здесь мы	3	3
41	самом деле	4	3
42	языка как	2	3
43	да и	10	3
44	как и	5	3
45	не в	2	3
46	и то	10	3
47	есть прежде	4	3
48	в себе	5	3
49	говорить о	10	3
50	ничего общего	3	3
51	с этим	5	3
52	и для	6	3
53	общего с	2	3
54	так как	7	3
55	слово в	2	3
56	еще в	2	2
57	и этот	3	2
58	с историей	2	2
59	не менее	13	2
60	и др	2	2
61	каждый элемент	2	2
62	себе что	2	2
63	для себя	9	2
64	уже в	3	2
65	самого начала	2	2
66	и тем	4	2
67	может иметь	2	2
68	к предмету	3	2
69	в целом	3	2
70	сознания и	2	2
71	о языке	3	2
72	данном случае	5	2
73	а не	10	2
74	в отношении	4	2
75	говорить об	3	2
76	другой стороны	5	2
77	с другой	6	2
78	в языке	15	2
79	в них	2	2
80	в связи	5	2
81	входит в	2	2
82	собственно говоря	2	2
83	а в	4	2
84	с одной	5	2
85	все эти	7	2
86	вовсе не	37	2
87	роль в	2	2
88	или иного	5	2
89	есть не	6	2
90	в тех	2	2
91	с самого	3	2
92	к тому	3	2
93	и к	3	2
94	если бы	4	2
95	в общем	4	2
96	не имеет	7	2
97	в том	12	2
98	что иное	3	2
99	так же	5	2
100	мы считаем	2	2
101	том что	19	2
102	в зависимости	2	2
103	в своих	3	2
104	в данном	10	2
105	человеческой речи	4	2
106	зависимости от	2	2
107	случае и	2	2
108	что они	3	2
109	в этом	17	2
110	учение о	2	2
111	тем что	4	2
112	и следовательно	4	2
113	при этом	3	2
114	к сожалению	6	2
115	смысле слова	7	2
116	и ее	2	2
117	не что	3	2
118	тот же	4	2
119	одной стороны	5	2
120	представим себе	2	2
121	в действительности	2	2
122	несмотря на	3	2
123	того или	7	2
124	мы уже	3	2
125	слова и	4	2
126	в области	6	2
127	нет ничего	2	2
128	в самом	5	2
129	и при	2	2
130	бы в	3	2
131	только его	3	2
132	между собою	4	2
133	в ней	2	2
134	иное как	3	2
135	и является	3	2
136	а также	2	2
