N	2gram	Propp_Isto_3	Myslijsy
1	потому что	3	52
2	и в	22	39
3	может быть	11	27
4	в том	9	26
5	только в	4	25
6	что в	15	22
7	не может	4	22
8	а не	6	21
9	так как	7	21
10	не только	14	21
11	в нем	9	20
12	но и	12	20
13	и не	12	18
14	том что	8	16
15	так что	5	16
16	не в	4	15
17	в этом	17	15
18	если бы	6	14
19	отношению к	2	13
20	так и	2	13
21	по отношению	2	13
22	таким образом	10	13
23	было бы	3	12
24	точно так	2	11
25	есть только	2	11
26	что не	2	10
27	то что	7	10
28	как в	2	10
29	и что	2	10
30	могут быть	5	9
31	для нас	4	9
32	как и	3	9
33	там же	2	9
34	тем что	4	9
35	но в	10	9
36	в одном	2	8
37	но не	7	8
38	вместе с	9	8
39	со стороны	3	8
40	того что	5	8
41	точки зрения	2	8
42	с другой	7	7
43	в ней	2	7
44	с этим	8	7
45	это не	6	7
46	то и	6	7
47	в этих	11	7
48	не менее	5	6
49	независимо от	2	6
50	тем не	5	6
51	и как	3	6
52	еще не	10	6
53	что на	4	6
54	что и	9	6
55	все же	5	6
56	и т	16	6
57	то же	6	6
58	при этом	2	6
59	с тем	2	5
60	вовсе не	2	5
61	но это	3	5
62	и потому	2	5
63	в его	3	5
64	не видно	3	5
65	то это	2	5
66	другой стороны	7	5
67	не имеют	2	5
68	так же	3	5
69	а в	6	5
70	и для	2	5
71	не имеет	2	5
72	друг друга	6	5
73	и его	4	5
74	между тем	2	5
75	никогда не	3	4
76	вопрос о	2	4
77	прежде всего	3	4
78	в свою	4	4
79	мы видели	13	4
80	мы видим	8	4
81	от него	2	4
82	к тому	3	4
83	т д	15	4
84	не было	2	4
85	и даже	2	4
86	из этих	3	4
87	в то	2	4
88	там где	7	4
89	в них	6	3
90	и от	3	3
91	и это	2	3
92	в жизни	2	3
93	друг другу	2	3
94	показывает что	5	3
95	в этой	5	3
96	в своем	2	3
97	но тем	2	3
98	мы увидим	3	3
99	она не	4	3
100	одной стороны	2	3
101	в другой	4	3
102	только на	2	3
103	относится к	2	3
104	из которого	2	3
105	никто не	2	3
106	связи с	6	3
107	с одной	2	3
108	не мог	2	3
109	той же	2	3
110	что по	2	3
111	и то	2	3
112	сказать что	3	3
113	во всяком	2	3
114	хотя и	2	3
115	он не	5	3
116	мы должны	7	3
117	и все	3	3
118	то не	2	3
119	и с	4	3
120	и более	2	2
121	только не	2	2
122	и есть	2	2
123	их и	3	2
124	в животном	2	2
125	но он	4	2
126	одного из	2	2
127	на все	2	2
128	связь с	6	2
129	уже с	3	2
130	стороны и	3	2
131	не что	3	2
132	как мы	8	2
133	же в	2	2
134	жизни и	2	2
135	уже не	7	2
136	у нас	4	2
137	но все	2	2
138	за ним	3	2
139	если не	2	2
140	все что	3	2
141	после этого	2	2
142	для них	3	2
143	между прочим	3	2
144	и о	2	2
145	одним из	4	2
146	к ней	4	2
147	для нее	2	2
148	не все	6	2
149	в целом	3	2
150	образом и	2	2
151	не могла	2	2
152	еще более	2	2
153	этот вопрос	2	2
154	из того	2	2
155	перейти к	2	2
156	в течение	6	2
157	та что	2	2
158	или в	11	2
159	несомненно что	2	2
160	во многих	2	2
161	иное как	3	2
162	известно что	2	2
163	что иное	3	2
164	видно что	2	2
165	как будто	2	2
166	его на	2	2
167	о том	3	2
168	при помощи	3	2
169	нет ничего	2	2
170	связанное с	2	2
171	в других	4	2
172	то мы	2	2
173	мы можем	6	2
