N	3gram	Voloshinov_1	Freidism
1	с точки зрения	6	11
2	во всяком случае	3	7
3	не может быть	3	7
4	в самом деле	2	6
5	на протяжении всей	2	6
6	в большинстве случаев	3	5
7	фрейд и его	3	4
8	и его ученики	3	4
9	протяжении всей жизни	2	4
10	можно сказать что	3	4
11	метод свободного фантазирования	2	4
12	на самом деле	4	4
13	с самого начала	4	3
14	чувств и желаний	2	3
15	но в общем	2	3
16	я и оно	2	3
17	в конечном счете	2	3
18	мы можем сказать	2	3
19	всей жизни человека	2	3
20	мысли и образы	2	3
21	пробиться в сознание	2	2
22	связанных с ними	2	2
23	явные образы сновидения	2	2
24	а потому и	2	2
25	всей последующей жизни	2	2
26	ни в чем	3	2
27	не могут быть	2	2
28	его все позволено	2	2
29	из тех же	2	2
30	в его целом	2	2
31	на две группы	2	2
32	испытание с точки	2	2
33	в систему бессознательного	2	2
34	с его все	2	2
35	является по ранку	2	2
36	к матери и	3	2
37	может быть это	3	2
38	в чем не	3	2
39	до сих пор	3	2
40	об эрогенных зонах	2	2
41	рассеяно по всему	2	2
42	с вытесненным представлением	2	2
43	все то что	2	2
