N	2gram	Berdyaev_V_1	Analitik
1	не только	2	22
2	и в	16	18
3	как и	4	14
4	так и	4	14
5	в этом	4	14
6	но и	5	13
7	том что	2	12
8	и не	20	12
9	а в	2	10
10	как бы	5	10
11	что в	3	9
12	а не	7	9
13	в том	3	9
14	с его	3	8
15	но не	2	7
16	в его	4	7
17	к тому	3	6
18	не в	3	6
19	для него	2	6
20	еще не	8	6
21	никогда не	3	5
22	в конце	3	5
23	прежде всего	2	5
24	что и	3	5
25	в мире	5	5
26	лишь в	3	5
27	уже не	2	5
28	между тем	2	5
29	что он	4	4
30	и сам	2	4
31	не есть	6	4
32	по пути	5	4
33	что они	7	3
34	не будет	2	3
35	все это	5	3
36	не было	3	3
37	что не	4	3
38	его не	2	3
39	мы не	2	3
40	говорить о	4	3
41	бы и	3	2
42	могут быть	2	2
43	все эти	3	2
44	в них	3	2
45	это не	2	2
46	в жизни	3	2
47	в нем	4	2
48	им что	2	2
49	да и	2	2
50	одна из	2	2
51	с тем	2	2
52	хотя и	5	2
53	в ней	4	2
54	и потому	7	2
55	один из	2	2
56	не с	2	2
57	то что	9	2
58	во всех	3	2
59	освобождения от	2	2
60	в форме	2	2
61	в себя	2	2
62	более чем	2	2
63	и для	3	2
64	от своей	2	2
65	во всяком	2	2
66	тем что	2	2
67	личности и	3	2
68	на себя	5	2
69	что мы	4	2
70	только в	2	2
71	и все	4	2
72	но в	3	2
