N	2gram	Savitsky_P_1	Problemy
1	и в	14	34
2	и не	12	29
3	как бы	4	27
4	в его	2	22
5	может быть	5	19
6	в нем	3	19
7	не может	4	19
8	но в	9	16
9	все это	2	16
10	в этом	10	16
11	и с	2	15
12	прежде всего	3	15
13	то же	9	14
14	т е	3	12
15	но и	6	12
16	же время	7	12
17	и к	4	12
18	потому что	3	12
19	в то	7	12
20	то что	4	11
21	а я	5	10
22	не только	17	10
23	в отношении	10	9
24	не в	5	9
25	а не	2	9
26	и т	3	8
27	точки зрения	3	8
28	что в	4	7
29	отношении к	5	7
30	в пределах	8	6
31	с ними	3	6
32	в себе	3	6
33	только в	7	6
34	это не	3	5
35	того что	2	5
36	из них	2	5
37	и вот	2	5
38	а в	4	5
39	мы должны	4	5
40	с тем	3	5
41	хотя бы	8	5
42	друг другу	2	4
43	с другой	5	4
44	да и	2	4
45	в общем	2	4
46	не о	2	4
47	в начале	2	4
48	если бы	4	4
49	как раз	2	4
50	но не	3	4
51	в мире	2	4
52	с точки	3	4
53	в виде	2	4
54	и это	2	4
55	не менее	2	3
56	в том	9	3
57	хотя и	3	3
58	в котором	4	3
59	должно быть	2	3
60	в ней	6	3
61	говорить о	2	3
62	по себе	4	3
63	в ее	2	3
64	том что	4	3
65	между тем	3	3
66	сводится к	3	3
67	и как	3	3
68	не было	2	2
69	столь же	3	2
70	было в	2	2
71	и если	4	2
72	например в	2	2
73	т а	2	2
74	в своем	4	2
75	как на	2	2
76	и пусть	2	2
77	в которых	5	2
78	с этим	2	2
79	я и	3	2
80	отнюдь не	2	2
81	в них	2	2
82	в жизни	2	2
83	точек зрения	2	2
84	тот же	3	2
85	было бы	6	2
86	во всех	2	2
87	и потому	4	2
88	еще более	2	2
89	к чему	2	2
90	и без	3	2
