N	2gram	Medvedev_V_1	Psycholo
1	в том	15	37
2	и в	26	32
3	том что	8	21
4	то что	6	21
5	таким образом	31	21
6	в искусстве	6	21
7	что в	10	20
8	так же	3	18
9	может быть	22	18
10	что и	3	17
11	не может	17	17
12	точки зрения	3	17
13	что она	2	16
14	того чтобы	3	14
15	что он	4	13
16	то же	10	13
17	для того	3	13
18	в этом	26	13
19	по себе	2	12
20	в самом	4	12
21	не только	25	12
22	заключается в	2	12
23	с тем	3	11
24	было бы	7	11
25	при помощи	3	10
26	как и	7	10
27	и т	23	10
28	когда он	3	10
29	но и	10	10
30	и не	19	10
31	никогда не	4	9
32	что все	3	9
33	что при	2	9
34	в своих	2	9
35	не менее	2	8
36	не в	6	8
37	т п	9	8
38	того что	3	8
39	к тому	4	7
40	мы знаем	3	7
41	и как	3	7
42	а не	7	7
43	все эти	6	7
44	можно было	2	7
45	и его	6	7
46	что для	3	7
47	сказать что	5	7
48	только в	7	7
49	что они	3	7
50	в этой	4	6
51	он не	2	6
52	как бы	5	6
53	в художественном	10	6
54	художественное произведение	5	6
55	формы и	2	6
56	же самое	2	6
57	о том	10	6
58	если бы	3	6
59	художественного произведения	6	5
60	отнюдь не	3	5
61	что у	2	5
62	художественном произведении	4	5
63	что его	2	5
64	утверждает что	3	5
65	вслед за	2	5
66	он говорит	5	5
67	в ней	2	5
68	далеко не	2	5
69	все это	10	5
70	как раз	3	5
71	этом отношении	13	5
72	и даже	2	5
73	как на	3	5
74	в то	6	5
75	же как	2	4
76	от того	2	4
77	искусство как	2	4
78	в жизни	2	4
79	утверждать что	4	4
80	как это	12	4
81	в чем	2	4
82	и по	3	4
83	в нем	6	4
84	все же	5	4
85	из них	9	4
86	жизни и	3	4
87	а в	3	4
88	мы имеем	3	4
89	и для	2	4
90	тому что	6	4
91	знаем что	2	4
92	могут быть	5	4
93	с этим	3	4
94	в целом	4	4
95	ту же	2	4
96	которые в	2	4
97	в творчестве	3	4
98	в сознании	4	4
99	между тем	5	4
100	в общем	2	3
101	не могут	7	3
102	главным образом	7	3
103	в частности	11	3
104	конечном счете	5	3
105	хотя бы	19	3
106	с другой	11	3
107	в конце	3	3
108	представить себе	2	3
109	и к	3	3
110	действительной жизни	3	3
111	по существу	3	3
112	об этом	9	3
113	как говорит	5	3
114	и заключается	2	3
115	но как	3	3
116	художника и	7	3
117	в нашей	4	3
118	например в	3	3
119	в своей	4	3
120	на это	2	3
121	конце концов	2	3
122	относится к	2	3
123	один из	5	3
124	то это	2	3
125	так и	5	3
126	во всех	6	3
127	том чтобы	2	3
128	и их	3	3
129	и ее	4	3
130	бы и	6	3
131	в их	5	3
132	это только	4	3
133	образом в	3	3
134	этот вопрос	3	3
135	что не	3	3
136	в конечном	7	3
137	должны быть	2	3
138	и он	2	3
139	при всем	3	3
140	тому как	2	3
141	действующих лиц	5	3
142	в которых	3	3
143	того или	2	3
144	тогда когда	2	3
145	но в	2	3
146	значит что	2	3
147	в виду	4	3
148	на вопрос	2	2
149	в самых	2	2
150	зависит от	2	2
151	и этот	2	2
152	с его	3	2
153	но даже	3	2
154	в них	4	2
155	эта теория	2	2
156	это не	7	2
157	и от	3	2
158	с другими	2	2
159	во сне	21	2
160	в одном	4	2
161	в каждом	2	2
162	этой точки	2	2
163	сводится к	3	2
164	говорит о	7	2
165	в романе	4	2
166	же время	5	2
167	и при	5	2
168	его от	2	2
169	еще не	2	2
170	но не	2	2
171	очевидно что	7	2
172	художественную форму	2	2
173	она не	3	2
174	из которых	2	2
175	вовсе не	3	2
176	том же	6	2
177	в его	14	2
178	из себя	2	2
179	не вполне	2	2
180	если в	2	2
181	в ее	4	2
182	том как	3	2
183	как он	2	2
184	в процессе	16	2
185	вместе с	7	2
186	творчества в	7	2
187	отличается от	2	2
188	себе и	2	2
189	вплоть до	2	2
190	бы не	2	2
191	другой стороны	8	2
192	в особенности	2	2
193	показывают что	3	2
194	т д	14	2
195	не было	7	2
196	что оно	3	2
197	роль в	4	2
198	этой области	3	2
199	что без	2	2
200	и у	2	2
201	у них	2	2
202	также и	2	2
203	их в	6	2
204	моментов в	3	2
205	ли это	2	2
206	подобно тому	2	2
207	в себе	6	2
208	явлений и	3	2
209	в которой	2	2
210	которая не	2	2
211	могло бы	2	2
212	произведения как	5	2
