N	3gram	Medvedev_F_2	Problema
1	во всяком случае	5	10
2	в конце концов	2	7
3	и т д	5	6
4	в этом смысле	2	5
5	того или иного	4	5
6	с другой стороны	3	5
7	в связи с	10	5
8	как раз и	3	4
9	в то же	5	4
10	в том что	2	4
11	на первый план	2	3
12	и в этом	5	3
13	было говорить о	2	3
14	не может быть	10	3
15	но и в	3	3
16	с самого начала	2	2
17	для того чтобы	3	2
18	связи с этим	3	2
19	даже и не	2	2
20	в самом деле	5	2
21	сами по себе	2	2
22	может быть и	3	2
23	и прежде всего	2	2
24	в том случае	2	2
25	на самом деле	3	2
