N	2gram	Propp_Russ_2	FransuaR
1	и в	29	29
2	таким образом	6	20
3	и все	4	13
4	в этой	3	13
5	как и	11	12
6	на части	9	12
7	но в	5	12
8	и на	6	11
9	в этом	11	11
10	то же	4	10
11	во время	12	10
12	как мы	3	10
13	в то	2	10
14	не только	10	10
15	но и	8	9
16	все эти	3	9
17	и с	10	9
18	его в	8	9
19	игра в	2	8
20	прежде всего	2	8
21	игры в	2	8
22	как бы	18	8
23	в них	4	7
24	мы видели	7	7
25	так же	4	7
26	в том	22	7
27	так как	13	7
28	из них	4	6
29	здесь в	2	6
30	но он	3	6
31	что это	3	5
32	это не	5	5
33	это и	2	5
34	до конца	3	5
35	и о	3	5
36	далеко не	4	5
37	в своей	2	5
38	и по	3	5
39	старого года	2	4
40	руки и	3	4
41	в образе	2	4
42	связанные с	2	4
43	еще не	6	4
44	один из	2	4
45	то что	5	4
46	все это	10	4
47	на самом	2	4
48	с другой	2	4
49	жизнь и	2	4
50	тем что	3	4
51	в которой	2	4
52	тому как	3	3
53	в качестве	3	3
54	после обеда	4	3
55	в ее	3	3
56	а затем	4	3
57	все же	2	3
58	том что	22	3
59	и как	2	3
60	церкви и	2	3
61	что здесь	3	3
62	того что	3	3
63	этого праздника	2	3
64	со смехом	2	3
65	к нему	4	3
66	при этом	6	3
67	и других	3	3
68	в году	3	3
69	там же	12	3
70	у них	2	3
71	образом в	2	3
72	того чтобы	6	3
73	для того	6	3
74	подобно тому	3	3
75	на эту	2	3
76	там где	2	3
77	в эту	3	3
78	связи с	2	2
79	и другие	14	2
80	к этому	5	2
81	в фольклоре	4	2
82	в этих	3	2
83	жизни в	2	2
84	что такие	2	2
85	это в	2	2
86	на первый	3	2
87	все в	2	2
88	из этого	2	2
89	самом же	2	2
90	связаны с	3	2
91	есть в	2	2
92	именно в	4	2
93	на этом	3	2
94	но не	5	2
95	то время	2	2
96	кроме того	2	2
97	одной стороны	2	2
98	не может	5	2
99	о чем	4	2
100	же деле	2	2
101	может быть	13	2
102	том же	4	2
103	никогда не	2	2
104	уже не	4	2
105	а также	4	2
106	в виду	2	2
107	в котором	3	2
108	на них	4	2
109	и для	2	2
110	после этого	2	2
111	но она	2	2
112	также в	2	2
113	как в	7	2
114	в их	2	2
115	где они	2	2
116	в других	15	2
117	с одной	2	2
118	и под	3	2
119	мы здесь	2	2
120	не столько	2	2
121	друг друга	3	2
122	представлений о	2	2
123	или в	7	2
124	принадлежат к	2	2
125	в своих	2	2
126	и то	2	2
127	их в	4	2
128	и при	2	2
129	о том	9	2
