N	2gram	Potebnia_M_2	OGranits
1	и в	24	13
2	и его	2	12
3	прежде всего	7	9
4	не может	12	8
5	и не	19	8
6	может быть	23	8
7	и их	5	7
8	в его	2	7
9	таким образом	11	6
10	не только	15	6
11	то что	20	6
12	только в	11	6
13	мы должны	2	6
14	как бы	9	6
15	все же	5	5
16	языка и	3	5
17	хотя бы	2	5
18	то же	12	4
19	но мы	3	4
20	все это	2	4
21	в каждом	2	4
22	мы не	11	4
23	мы можем	12	4
24	было бы	13	4
25	в сознании	23	4
26	но в	4	4
27	и уже	5	3
28	что в	16	3
29	никогда не	4	3
30	но и	9	3
31	так и	5	3
32	по отношению	2	3
33	вряд ли	3	3
34	не как	3	3
35	и все	3	3
36	в одном	6	3
37	превращается в	2	3
38	самом деле	2	3
39	как и	7	3
40	не в	13	3
41	за пределы	2	3
42	в которой	5	3
43	и то	3	3
44	не столько	2	3
45	есть прежде	2	3
46	одно и	2	3
47	в себе	10	3
48	с этим	7	3
49	и для	3	3
50	общего с	2	3
51	так как	10	3
52	не менее	5	2
53	уже в	5	2
54	самого начала	2	2
55	и тем	3	2
56	в нем	9	2
57	в целом	3	2
58	а не	18	2
59	думать что	3	2
60	отношений между	3	2
61	во времени	2	2
62	может стать	2	2
63	другой стороны	2	2
64	с другой	6	2
65	в языке	3	2
66	не на	2	2
67	в них	5	2
68	в связи	2	2
69	а в	8	2
70	с одной	4	2
71	все эти	2	2
72	вовсе не	9	2
73	те же	3	2
74	может в	2	2
75	на две	2	2
76	есть не	5	2
77	с самого	2	2
78	как в	10	2
79	если бы	11	2
80	в общем	2	2
81	в чем	7	2
82	не имеет	6	2
83	в том	18	2
84	так же	2	2
85	том что	8	2
86	мы видим	2	2
87	с ними	3	2
88	человеческой речи	5	2
89	что они	5	2
90	которое может	2	2
91	в этом	8	2
92	тем что	7	2
93	между тем	6	2
94	и следовательно	2	2
95	могут быть	8	2
96	при этом	13	2
97	связанные с	2	2
98	для него	10	2
99	в другом	2	2
100	во всем	2	2
101	тот же	5	2
102	одной стороны	3	2
103	и может	3	2
104	в действительности	2	2
105	кажется что	3	2
106	его на	2	2
107	слова и	3	2
108	в самом	4	2
109	мог бы	3	2
110	вслед за	3	2
111	и при	3	2
112	имеет место	2	2
113	которое мы	3	2
114	там где	4	2
115	представлений и	3	2
116	бы в	2	2
117	между собою	7	2
118	в ней	3	2
