N	2gram	Nazirov_Tv_2	EvropaiE
1	и в	20	37
2	что в	7	21
3	не только	13	18
4	в то	10	16
5	то же	7	15
6	же время	7	14
7	но и	8	14
8	и не	9	14
9	но в	4	14
10	в этом	8	12
11	в их	3	11
12	в том	8	11
13	так и	6	10
14	отнюдь не	4	9
15	прежде всего	8	9
16	не может	7	9
17	в себе	3	9
18	только в	2	9
19	так же	5	9
20	в ее	2	8
21	в своей	6	8
22	между тем	3	8
23	как и	6	7
24	с другой	2	7
25	так как	3	7
26	с этой	3	6
27	вовсе не	2	6
28	том что	4	6
29	может быть	8	6
30	как бы	11	6
31	то что	3	6
32	и даже	5	6
33	и на	5	6
34	то есть	5	6
35	же как	3	5
36	в частности	2	5
37	не в	4	5
38	но не	5	5
39	одной из	3	5
40	но если	2	5
41	тем самым	4	5
42	и по	2	5
43	в виде	2	5
44	в россии	2	5
45	и потому	4	5
46	именно в	6	4
47	в самом	3	4
48	в процессе	2	4
49	мы не	4	4
50	во многих	2	4
51	место в	3	3
52	никогда не	11	3
53	жизни в	3	3
54	в стороне	2	3
55	и от	4	3
56	в известной	4	3
57	и мы	3	3
58	из них	2	3
59	по нашему	4	3
60	всяком случае	2	3
61	не является	3	3
62	когда он	4	3
63	как в	4	3
64	и только	2	3
65	в таком	3	3
66	в которых	3	3
67	потому что	7	3
68	во всяком	2	3
69	тем что	3	3
70	этот факт	2	3
71	о том	5	3
72	он сам	3	2
73	а не	6	2
74	не означает	2	2
75	в одном	2	2
76	представление о	7	2
77	одном из	2	2
78	что на	2	2
79	такой же	2	2
80	и если	2	2
81	по преимуществу	2	2
82	он не	3	2
83	человеческой культуры	2	2
84	в его	10	2
85	в котором	3	2
86	точка зрения	2	2
87	при помощи	2	2
88	и отчасти	3	2
89	в мире	5	2
90	наряду с	7	2
91	вместе с	3	2
92	а в	4	2
93	таким образом	10	2
94	если бы	4	2
95	начиная с	2	2
96	и других	2	2
97	нашему мнению	4	2
98	и что	2	2
99	и наконец	2	2
100	на этот	2	2
101	другой стороны	2	2
102	во многом	2	2
103	с другими	2	2
104	мы видим	4	2
105	в своих	3	2
106	этот вопрос	3	2
107	и с	8	2
108	хотя и	4	2
109	могут быть	2	2
110	и еще	2	2
111	в этой	5	2
112	в истории	2	2
113	и поэтому	2	2
114	имеет в	2	2
