N	3gram	Vygotskiy__7	Psycholo
1	в самом деле	4	18
2	на то что	4	12
3	в том что	13	11
4	с точки зрения	21	9
5	то же самое	5	8
6	для того чтобы	18	8
7	в сущности говоря	2	7
8	с самого начала	7	6
9	заключается в том	4	6
10	о которых мы	2	5
11	с одной стороны	5	5
12	до сих пор	3	5
13	о том что	4	3
14	мы могли бы	4	3
15	то и другое	3	3
16	и то что	3	3
17	смысле этого слова	3	2
18	в данном случае	5	2
19	мы не можем	3	2
20	к тому что	6	2
21	в то время	2	2
22	в какой мере	2	2
23	в свою очередь	2	2
24	не совпадает с	3	2
25	больше и больше	2	2
26	одно и то	3	2
27	не можем не	2	2
28	как мы видели	3	2
29	все больше и	2	2
30	которых мы говорили	2	2
31	в лучшем случае	2	2
32	и то же	3	2
33	и вместе с	2	2
34	вместе с тем	4	2
35	на самом деле	2	2
36	то время как	2	2
