N	2gram	Losev_Vlad_1	Tvorches
1	и в	31	20
2	в году	30	16
3	не только	24	13
4	и т	2	13
5	никогда не	9	11
6	м м	15	11
7	т д	2	11
8	в его	12	10
9	таким образом	3	10
10	в то	8	10
11	там же	13	9
12	и его	7	9
13	и не	17	9
14	же с	11	9
15	в том	11	8
16	при этом	2	8
17	но и	19	8
18	может быть	6	8
19	в этом	14	8
20	и с	14	8
21	же время	4	7
22	года в	3	7
23	что в	14	7
24	не может	6	7
25	то же	6	7
26	потому что	11	7
27	м с	4	7
28	у него	15	6
29	в конце	9	6
30	что он	12	6
31	как и	4	6
32	в целом	3	6
33	в своей	4	6
34	так и	6	6
35	все это	5	6
36	но это	3	5
37	еще не	2	5
38	но не	3	5
39	и сам	6	5
40	все же	3	5
41	и даже	15	5
42	и на	3	5
43	в этой	4	5
44	о том	11	5
45	то есть	3	5
46	об этом	7	4
47	что у	4	4
48	и от	5	4
49	том что	14	4
50	в дальнейшем	8	4
51	что они	3	4
52	отнюдь не	3	4
53	на его	3	4
54	января года	3	4
55	хотя и	4	4
56	что она	2	4
57	когда он	5	4
58	как в	3	4
59	а а	4	4
60	если не	3	4
61	все эти	3	4
62	тем самым	2	4
63	не в	5	4
64	а в	9	4
65	года и	2	4
66	в чем	2	4
67	марта года	3	4
68	и потому	6	4
69	ничего не	3	4
70	но в	12	4
71	это был	5	3
72	место в	2	3
73	а с	5	3
74	он сам	2	3
75	к этому	6	3
76	с ним	5	3
77	но зато	2	3
78	письма к	2	3
79	так например	2	3
80	для него	7	3
81	одной из	2	3
82	в самом	2	3
83	и мы	2	3
84	он не	10	3
85	а ф	2	3
86	в котором	6	3
87	один из	4	3
88	в нем	4	3
89	то что	18	3
90	и это	2	3
91	вместе с	3	3
92	года он	6	3
93	и через	3	3
94	так как	8	3
95	уже не	3	3
96	одним из	2	3
97	тем что	2	3
98	в своих	5	3
99	в себе	4	3
100	в начале	3	3
101	уже в	7	2
102	не менее	2	2
103	в петербург	3	2
104	т ii	3	2
105	с другой	3	2
106	соловьев в	13	2
107	я не	4	2
108	вовсе не	5	2
109	в этот	4	2
110	со своими	3	2
111	во всяком	2	2
112	письма т	10	2
113	что на	2	2
114	что его	4	2
115	тому же	2	2
116	у нас	6	2
117	ii с	3	2
118	так что	10	2
119	что я	2	2
120	а н	2	2
121	которой он	5	2
122	и если	5	2
123	в частности	2	2
124	в которую	2	2
125	всяком случае	2	2
126	к жизни	2	2
127	нет и	2	2
128	себя в	4	2
129	в свой	2	2
130	него в	2	2
131	в истории	4	2
132	на него	3	2
133	начиная с	2	2
134	не было	5	2
135	и других	2	2
136	всякого рода	2	2
137	и что	6	2
138	и у	4	2
139	на этот	6	2
140	другой стороны	3	2
141	и он	3	2
142	и по	8	2
143	во многом	2	2
144	н к	3	2
145	с ними	2	2
146	философии но	2	2
147	тут же	7	2
148	не столько	2	2
149	что этот	3	2
150	из них	2	2
151	в виде	3	2
152	и м	2	2
153	он писал	4	2
154	известно что	2	2
155	октября года	2	2
156	в которой	4	2
157	и еще	2	2
158	и вообще	4	2
159	только в	9	2
160	этот факт	2	2
161	в россии	4	2
162	из этого	2	2
163	едва ли	3	2
