N	2gram	Medvedev_S_1	slovoVRo
1	и в	3	39
2	может быть	2	37
3	не только	3	24
4	но и	2	21
5	все это	7	16
6	в этом	5	16
7	не в	3	9
8	таким образом	2	8
9	еще не	2	7
10	в его	3	7
11	как бы	2	7
12	для нас	3	5
13	том что	2	5
14	только в	2	5
15	в том	5	5
16	отношению к	2	4
17	в смысле	2	4
18	по отношению	2	4
19	то же	2	4
20	истории литературы	10	3
21	что в	2	3
22	должна быть	2	3
23	исторической жизни	2	3
24	или даже	2	3
25	она может	2	2
26	за пределы	2	2
27	то что	2	2
28	это и	2	2
29	в результате	2	2
30	далеко не	2	2
