N	2gram	Losev_Dial_4	VrazhdaK
1	не только	8	9
2	в этом	11	8
3	и что	9	8
4	и в	15	8
5	но и	4	7
6	что в	7	7
7	то что	16	7
8	и все	11	7
9	в котором	2	6
10	в нем	5	6
11	все же	2	6
12	– это	5	6
13	и даже	6	6
14	как и	7	6
15	но в	3	6
16	и с	4	6
17	о нем	2	6
18	то же	9	5
19	не было	2	5
20	и не	30	5
21	об этом	3	5
22	в то	6	5
23	же время	6	5
24	у достоевского	2	4
25	как бы	14	4
26	все это	9	4
27	это не	12	4
28	что он	7	4
29	так же	4	4
30	с ним	3	4
31	может быть	17	4
32	при этом	2	4
33	в истории	3	4
34	о том	5	4
35	в ней	5	4
36	в виду	9	4
37	в этот	2	3
38	я не	5	3
39	и уже	4	3
40	с его	5	3
41	в своем	5	3
42	и во	2	3
43	что есть	2	3
44	т е	46	3
45	к этому	3	3
46	на то	5	3
47	в том	11	3
48	и его	7	3
49	том что	10	3
50	и как	4	3
51	тем что	2	3
52	в его	4	3
53	и о	8	3
54	в чем	8	3
55	в своей	3	2
56	и это	8	2
57	время и	2	2
58	из них	2	2
59	не менее	2	2
60	никогда не	2	2
61	вместе с	2	2
62	отнюдь не	4	2
63	в них	2	2
64	как раз	4	2
65	не может	11	2
66	отношения к	3	2
67	таким образом	5	2
68	в одну	3	2
69	но это	4	2
70	уже не	9	2
71	не мог	2	2
72	с точки	9	2
73	как же	5	2
74	этот момент	3	2
75	тем более	6	2
76	в этой	4	2
77	что я	5	2
78	и то	3	2
79	об этой	2	2
80	но как	2	2
81	точки зрения	14	2
82	в свою	3	2
83	и ее	8	2
84	в себе	8	2
85	в нашей	2	2
86	еще не	4	2
87	при помощи	3	2
88	личность и	3	2
