N	2gram	Voloshinov_1	RusskieA
1	и в	13	29
2	что в	3	22
3	том что	2	22
4	в том	2	22
5	как бы	6	18
6	может быть	8	13
7	так как	3	13
8	как и	3	11
9	в этом	2	11
10	все это	4	10
11	в этот	2	10
12	не только	6	10
13	а в	2	9
14	но и	3	8
15	ее в	2	8
16	данном случае	2	7
17	как в	2	7
18	мы не	4	6
19	таким образом	6	6
20	при этом	2	6
21	в данном	2	6
22	то что	6	5
23	не может	8	5
24	но в	4	5
25	в них	2	4
26	и все	3	4
27	не в	3	4
28	а также	2	4
29	так же	2	4
30	то же	4	4
31	а не	2	4
32	тем что	2	3
33	в ее	3	3
34	было бы	4	3
35	не имеет	2	3
36	все эти	2	3
37	между тем	2	3
38	не менее	2	2
39	с этой	2	2
40	могут быть	2	2
41	никогда не	3	2
42	связанные с	2	2
43	с другой	2	2
44	не столько	3	2
45	прежде всего	9	2
46	не что	2	2
47	в целях	2	2
48	в г	2	2
49	в ряд	2	2
50	и при	2	2
51	одной стороны	2	2
52	и пр	7	2
53	еще в	2	2
54	на две	2	2
55	все же	5	2
56	в своей	4	2
57	в руках	2	2
58	в их	3	2
59	вряд ли	3	2
60	с одной	2	2
61	в течение	2	2
62	там где	2	2
63	здесь мы	3	2
64	и для	3	2
65	в своих	2	2
66	и то	3	2
67	с этим	3	2
68	и ее	2	2
69	что иное	2	2
70	во всем	2	2
71	в которой	3	2
72	иное как	2	2
