N	2gram	Berdyaev_M_2	Psycholo
1	то что	5	37
2	и в	46	30
3	в том	3	27
4	что в	4	24
5	и что	2	23
6	потому что	12	23
7	том что	4	21
8	все время	2	20
9	для того	5	20
10	того чтобы	4	20
11	как бы	8	19
12	что он	7	17
13	не только	18	16
14	в трагедии	3	15
15	в самом	5	14
16	в этом	20	14
17	так же	6	13
18	в сущности	2	12
19	вместе с	2	12
20	если бы	3	11
21	может быть	21	11
22	о том	3	10
23	никогда не	18	9
24	для этого	4	9
25	мы увидим	2	9
26	не может	15	9
27	увидим что	2	9
28	сказать что	3	9
29	так как	8	9
30	что это	6	8
31	тому что	4	8
32	к тому	5	8
33	не в	9	8
34	а не	13	8
35	того что	6	8
36	мы видим	2	8
37	и это	5	8
38	на деле	4	8
39	по себе	2	7
40	в нем	22	7
41	то же	5	7
42	точки зрения	2	7
43	в основе	2	7
44	уже в	2	6
45	в своем	8	6
46	что она	5	6
47	как и	13	6
48	и если	2	6
49	и для	7	6
50	но и	15	6
51	что все	5	6
52	и не	18	6
53	жизни и	6	6
54	говорит что	2	6
55	и его	5	6
56	и здесь	6	6
57	тем что	3	6
58	как будто	2	6
59	на этом	2	6
60	и есть	8	5
61	и потому	7	5
62	в этой	7	5
63	что они	3	5
64	до сих	3	5
65	один из	5	5
66	сих пор	3	5
67	в своих	3	5
68	в себе	10	5
69	но в	10	5
70	только в	3	5
71	бы в	2	5
72	друг к	5	4
73	и все	5	4
74	прежде всего	12	4
75	у нас	11	4
76	есть не	5	4
77	и к	7	4
78	мысль о	2	4
79	в своей	5	4
80	от того	3	4
81	в ней	11	4
82	в его	5	4
83	в них	3	4
84	не есть	13	4
85	к другу	5	4
86	а в	2	4
87	в конце	5	4
88	не существует	3	3
89	у него	22	3
90	что у	4	3
91	хотя бы	7	3
92	это не	5	3
93	вопрос о	6	3
94	так что	2	3
95	это есть	2	3
96	в свою	4	3
97	для него	18	3
98	тот же	2	3
99	он не	10	3
100	чем у	4	3
101	что и	4	3
102	в строении	3	3
103	на его	2	3
104	ни в	3	3
105	так и	4	3
106	как в	7	3
107	с которым	3	3
108	той же	3	3
109	можно было	2	3
110	человека в	14	3
111	сам по	2	3
112	но он	11	3
113	и на	3	3
114	в этих	2	3
115	в которой	2	3
116	и поэтому	2	3
117	в отношении	5	2
118	с его	4	2
119	же как	3	2
120	связи с	2	2
121	он в	3	2
122	себя и	3	2
123	от этой	2	2
124	чем не	2	2
125	этого необходимо	3	2
126	бы его	2	2
127	в каждом	3	2
128	это означает	2	2
129	или иной	2	2
130	не что	3	2
131	и можно	3	2
132	он был	9	2
133	до конца	4	2
134	для нашей	2	2
135	нас не	2	2
136	любви и	3	2
137	чем в	2	2
138	если я	2	2
139	со своим	2	2
140	нет в	4	2
141	и та	2	2
142	в центре	2	2
143	к другому	3	2
144	по преимуществу	5	2
145	и эта	2	2
146	еще в	2	2
147	его с	2	2
148	должен быть	4	2
149	себе и	2	2
150	с таким	2	2
151	на поверхности	4	2
152	иное как	3	2
153	для чего	3	2
154	во всех	2	2
155	и той	2	2
156	быть и	2	2
157	отношения к	2	2
158	ни одного	2	2
159	к самому	2	2
160	по отношению	2	2
161	что есть	2	2
162	любовь в	2	2
163	того как	3	2
164	все равно	3	2
165	это и	3	2
166	одной и	2	2
167	и вот	5	2
168	и он	11	2
169	должно быть	2	2
170	ничего не	2	2
171	и с	3	2
172	в нашем	7	2
173	что иное	3	2
174	совсем не	5	2
175	во всем	5	2
176	не знает	9	2
177	вопроса о	4	2
178	его на	4	2
179	как он	3	2
180	нет ни	2	2
181	но она	2	2
