N	2gram	Propp_Russ_2	Literetu
1	не только	10	24
2	при этом	6	19
3	в качестве	3	17
4	но и	8	17
5	а не	4	16
6	в том	22	16
7	том что	22	14
8	может быть	13	13
9	тогда как	2	13
10	в году	3	13
11	в этом	11	12
12	состоит в	15	11
13	прежде всего	2	11
14	то что	5	10
15	не в	4	8
16	и в	29	8
17	как это	4	8
18	не менее	2	7
19	как бы	18	7
20	уже не	4	7
21	как и	11	6
22	связи с	2	6
23	того что	3	6
24	с этой	2	5
25	же в	6	5
26	а также	4	5
27	как в	7	5
28	не может	5	5
29	то же	4	5
30	в отличие	3	5
31	одним из	2	5
32	в данном	6	5
33	не столько	2	5
34	в то	2	5
35	отличие от	3	5
36	для этого	5	4
37	это не	5	4
38	представляет собой	2	4
39	но не	5	4
40	еще не	6	4
41	еще в	2	4
42	все же	2	4
43	из них	4	4
44	в своей	2	4
45	данном случае	7	4
46	никогда не	2	4
47	друг друга	3	4
48	в своих	2	4
49	в этой	3	4
50	не было	2	3
51	что в	22	3
52	с другой	2	3
53	одна из	11	3
54	том же	4	3
55	один из	2	3
56	в их	2	3
57	а в	9	3
58	таким образом	6	3
59	потому что	5	3
60	одно из	2	3
61	но в	5	3
62	далеко не	4	3
63	его в	8	3
64	в виду	2	3
65	на этом	3	2
66	для них	2	2
67	по этому	2	2
68	дело не	2	2
69	та же	2	2
70	из этих	2	2
71	подобно тому	3	2
72	тем не	2	2
73	в поле	19	2
74	одной стороны	2	2
75	было бы	3	2
76	следующим образом	5	2
77	должен быть	2	2
78	из наиболее	2	2
79	не к	2	2
80	то и	4	2
81	этой цели	2	2
82	с одной	2	2
83	все эти	3	2
84	что для	3	2
85	во многих	9	2
86	можно было	2	2
87	тому как	3	2
88	и то	2	2
89	между тем	3	2
90	тем что	3	2
91	могут быть	2	2
92	и м	8	2
93	на себя	2	2
94	о том	9	2
