N	2gram	Losev_Vesc_1	Tvorches
1	и в	21	20
2	не только	36	13
3	и т	19	13
4	никогда не	2	11
5	т д	19	11
6	как бы	12	11
7	в его	2	10
8	таким образом	8	10
9	в то	3	10
10	и его	2	9
11	и не	29	9
12	прежде всего	9	8
13	в том	8	8
14	но и	18	8
15	может быть	16	8
16	в этом	4	8
17	и с	8	8
18	это не	5	7
19	что в	9	7
20	не может	17	7
21	то же	6	7
22	потому что	16	7
23	у него	2	6
24	в конце	2	6
25	как и	8	6
26	в своей	5	6
27	так и	3	6
28	все это	5	6
29	а не	19	6
30	но это	10	5
31	еще не	8	5
32	но не	5	5
33	все же	4	5
34	и даже	6	5
35	в этой	3	5
36	о том	6	5
37	об этом	3	4
38	что у	5	4
39	и от	3	4
40	мы не	6	4
41	том что	8	4
42	мы видим	2	4
43	что они	6	4
44	отнюдь не	5	4
45	хотя и	4	4
46	что она	15	4
47	если не	3	4
48	все эти	3	4
49	не в	5	4
50	а в	4	4
51	в чем	6	4
52	и потому	5	4
53	ничего не	3	4
54	если бы	5	4
55	но в	5	4
56	а с	3	3
57	с этой	4	3
58	с ним	8	3
59	а затем	2	3
60	одна из	5	3
61	для него	4	3
62	что не	5	3
63	в самом	9	3
64	в котором	3	3
65	один из	3	3
66	в нем	2	3
67	то что	27	3
68	но уже	3	3
69	и это	14	3
70	так как	7	3
71	в свете	7	3
72	уже не	9	3
73	тем что	2	3
74	в себе	14	3
75	его в	2	3
76	для определения	2	2
77	не менее	3	2
78	и есть	26	2
79	его и	2	2
80	и без	3	2
81	с другой	6	2
82	по крайней	4	2
83	в одном	2	2
84	я не	4	2
85	не мешает	4	2
86	вовсе не	10	2
87	во всяком	3	2
88	от ее	6	2
89	и ее	18	2
90	что на	2	2
91	крайней мере	4	2
92	в ее	7	2
93	у нас	7	2
94	д и	5	2
95	так что	5	2
96	что я	24	2
97	и если	2	2
98	но если	8	2
99	в руки	2	2
100	всяком случае	2	2
101	себя в	10	2
102	в свой	2	2
103	в первой	2	2
104	по преимуществу	2	2
105	сводится к	2	2
106	самом деле	4	2
107	и что	15	2
108	и у	3	2
109	другой стороны	2	2
110	с другими	8	2
111	с ними	3	2
112	тут же	2	2
113	образ и	3	2
114	не случайно	2	2
115	в основе	3	2
116	из них	4	2
117	и еще	2	2
118	говорить о	6	2
119	и только	3	2
120	только в	14	2
121	но ведь	2	2
122	при помощи	2	2
123	в россии	2	2
124	их в	3	2
125	только с	3	2
126	однако это	2	2
