N	2gram	Bakhtin_fo_1	DiskursI
1	в себе	3	19
2	при этом	3	17
3	в качестве	3	16
4	и в	50	16
5	может быть	11	16
6	как и	8	16
7	в этом	25	16
8	и не	14	15
9	а не	3	14
10	в частности	6	12
11	и т.п	4	12
12	в отличие	2	12
13	отличие от	2	12
14	то есть	33	12
15	но и	8	11
16	но в	10	11
17	том что	4	10
18	не только	9	10
19	так и	12	9
20	не может	6	9
21	в том	9	8
22	а также	2	8
23	как в	6	8
24	прежде всего	15	7
25	в нем	24	7
26	ни в	8	7
27	но не	5	7
28	в данном	2	7
29	с его	9	6
30	отнюдь не	5	6
31	еще не	5	6
32	все же	6	6
33	в своей	2	6
34	то же	11	6
35	ни к	3	5
36	что в	5	5
37	в своем	4	5
38	с другой	2	5
39	же время	9	5
40	для него	2	5
41	то что	6	5
42	и на	8	5
43	в то	9	5
44	в одном	3	4
45	к этому	3	4
46	в пределах	5	4
47	одной стороны	2	4
48	как бы	2	4
49	времени в	7	4
50	отношению к	5	4
51	по отношению	3	4
52	этом отношении	3	4
53	с одной	3	4
54	человека в	17	4
55	роль в	9	4
56	потому что	4	4
57	в основе	5	4
58	можно назвать	2	4
59	одно из	3	4
60	точки зрения	5	4
61	и то	4	4
62	не является	2	4
63	жизни в	8	3
64	и может	2	3
65	могут быть	5	3
66	в этих	3	3
67	в них	4	3
68	это не	6	3
69	и все	6	3
70	или иной	2	3
71	в строгом	2	3
72	уже не	2	3
73	и того	6	3
74	и как	10	3
75	не в	5	3
76	соответствии с	2	3
77	здесь в	2	3
78	например в	6	3
79	он не	5	3
80	той или	2	3
81	в его	13	3
82	в котором	4	3
83	к жизни	2	3
84	мире и	2	3
85	принадлежит к	2	3
86	жизни и	8	3
87	но она	2	3
88	и ее	3	3
89	не было	7	3
90	все эти	9	3
91	также и	2	3
92	и его	16	3
93	одного и	5	3
94	не знает	3	3
95	только в	4	3
96	жизни но	5	3
97	его в	3	3
98	мира в	3	3
99	место в	2	2
100	же как	2	2
101	жизни не	3	2
102	никогда не	2	2
103	весьма существенную	2	2
104	в целом	2	2
105	вследствие этого	3	2
106	момент в	2	2
107	стороны и	2	2
108	в той	4	2
109	образ человека	6	2
110	в соответствии	2	2
111	не столь	2	2
112	жизненный путь	8	2
113	есть в	2	2
114	времени и	10	2
115	того же	8	2
116	одно и	3	2
117	отношение к	2	2
118	с их	2	2
119	в ней	4	2
120	далеко не	2	2
121	частной жизни	23	2
122	на почве	2	2
123	природе своей	2	2
124	для себя	7	2
125	что и	3	2
126	с ее	6	2
127	с точки	2	2
128	не к	2	2
129	время в	6	2
130	вместе с	3	2
131	человеческой жизни	6	2
132	и прежде	2	2
133	того и	2	2
134	входит в	3	2
135	случая и	2	2
136	именно в	3	2
137	чем не	3	2
138	по преимуществу	3	2
139	себе самому	4	2
140	в классическом	3	2
141	этом мире	2	2
142	к своему	2	2
143	все это	4	2
144	по природе	2	2
145	речи в	2	2
146	романа и	3	2
147	и для	4	2
148	а в	3	2
149	той же	2	2
150	в результате	6	2
151	их в	3	2
152	и с	4	2
153	не о	2	2
154	отсюда и	2	2
155	и это	4	2
156	дело в	2	2
157	здесь не	4	2
