N	2gram	Ircho_Kome_1	VelikijI
1	и не	8	20
2	и в	22	16
3	то что	2	9
4	так как	4	9
5	еще не	2	8
6	в истории	5	8
7	что они	4	7
8	к людям	2	6
9	хотя и	3	5
10	но и	11	5
11	все это	5	5
12	на себя	2	5
13	в образе	3	4
14	что он	6	4
15	в нем	4	4
16	как и	9	4
17	все что	2	4
18	это еще	2	4
19	в котором	4	4
20	так и	5	4
21	потому что	5	4
22	в этом	3	4
23	и все	3	4
24	в его	5	4
25	что в	6	3
26	в них	3	3
27	в конце	6	3
28	ни в	6	3
29	в том	11	3
30	не в	6	3
31	но это	2	3
32	тот же	3	3
33	к тому	6	3
34	что и	4	3
35	в чем	3	3
36	но в	4	3
37	и теперь	2	2
38	в число	2	2
39	прежде всего	5	2
40	да и	3	2
41	том что	12	2
42	а к	2	2
43	по которым	4	2
44	одна из	2	2
45	но не	2	2
46	не к	2	2
47	для них	2	2
48	и сам	3	2
49	вслед за	2	2
50	и во	2	2
51	не только	10	2
52	один из	5	2
53	и т	9	2
54	ее в	2	2
55	всего в	3	2
56	в форме	2	2
57	т д	4	2
58	тем что	4	2
59	в себя	2	2
60	мы не	3	2
61	а в	6	2
62	между тем	5	2
63	могут быть	3	2
64	только в	3	2
65	во всяком	2	2
