N	2gram	Nazirov_Tr_1	UchenyiS
1	и в	18	14
2	не только	8	10
3	и не	7	8
4	прежде всего	4	8
5	то что	4	7
6	в этом	9	7
7	не может	5	7
8	может быть	7	6
9	все это	4	5
10	то же	5	5
11	но и	4	4
12	в этой	4	4
13	только к	2	3
14	но в	6	3
15	как и	5	3
16	и то	2	3
17	все же	5	3
18	в частности	2	3
19	же время	6	3
20	для него	3	3
21	это не	5	3
22	вряд ли	2	3
23	в то	5	3
24	том что	4	2
25	в том	2	2
26	с его	2	2
27	не в	2	2
28	но это	4	2
29	бы и	2	2
30	о чем	3	2
31	не случайно	2	2
32	это уже	2	2
33	и с	7	2
34	тем что	2	2
35	что он	6	2
36	в себе	4	2
37	в конце	3	2
38	к области	2	2
39	что все	2	2
40	в самом	2	2
41	не могут	2	2
42	ничего не	2	2
43	а как	2	2
44	что она	2	2
45	что и	2	2
46	в его	3	2
