N	2gram	Trubetskoy_1	UchenyiS
1	и в	14	14
2	а не	2	10
3	не только	9	10
4	и не	19	8
5	прежде всего	8	8
6	то что	13	7
7	в этом	17	7
8	не может	22	7
9	может быть	9	6
10	хотя бы	5	5
11	все это	6	5
12	и только	5	5
13	то же	11	5
14	но и	10	4
15	в этой	4	4
16	в их	4	4
17	в россии	6	4
18	конечно не	5	4
19	что такое	2	4
20	только к	3	3
21	но в	2	3
22	как и	4	3
23	и то	4	3
24	все же	4	3
25	в своей	5	3
26	в частности	2	3
27	бы то	4	3
28	для этого	3	3
29	то ни	4	3
30	же время	10	3
31	для него	6	3
32	вряд ли	3	3
33	в то	10	3
34	было бы	5	3
35	и т.д	4	3
36	в области	2	3
37	не о	2	3
38	том что	9	2
39	но не	4	2
40	в том	17	2
41	по существу	5	2
42	не есть	3	2
43	не в	4	2
44	всех этих	3	2
45	и для	6	2
46	но это	2	2
47	должна быть	2	2
48	если бы	6	2
49	только в	5	2
50	и с	7	2
51	но даже	2	2
52	тем что	3	2
53	сих пор	5	2
54	его и	2	2
55	даже и	2	2
56	что он	6	2
57	все они	3	2
58	в себе	9	2
59	до сих	5	2
60	в конце	3	2
61	на эту	2	2
62	что все	3	2
63	если не	2	2
64	ни от	2	2
65	в самом	3	2
66	не могут	4	2
67	по себе	2	2
68	в некоторых	2	2
69	сводится к	3	2
70	самом деле	7	2
71	для всех	6	2
72	и является	2	2
73	а между	5	2
74	что и	3	2
75	в его	4	2
76	между тем	5	2
77	конце концов	3	2
78	таким образом	11	2
