N	2gram	Potebnia_M_2	FransuaR
1	и в	24	45
2	то есть	30	25
3	и не	19	15
4	не только	15	14
5	в этом	8	14
6	но в	4	14
7	в его	2	13
8	во всех	7	13
9	и его	2	13
10	как бы	9	12
11	во время	4	12
12	что в	16	12
13	то же	12	11
14	в то	6	11
15	прежде всего	7	10
16	в том	18	10
17	в нем	9	10
18	но и	9	10
19	как и	7	10
20	же время	2	9
21	вовсе не	9	8
22	в ней	3	8
23	таким образом	11	8
24	в самой	3	8
25	так же	2	8
26	с его	2	7
27	том что	8	7
28	не в	13	7
29	что и	11	7
30	все это	2	7
31	потому что	49	7
32	и все	3	7
33	всех этих	2	6
34	что он	4	6
35	так и	5	6
36	того чтобы	2	6
37	для того	5	6
38	связи с	6	6
39	так как	10	6
40	в них	5	6
41	с ним	5	5
42	мы видим	2	5
43	но это	3	5
44	на этом	2	5
45	например в	3	5
46	хотя и	3	5
47	и их	5	5
48	не может	12	5
49	в связи	2	5
50	все эти	2	5
51	на самом	2	5
52	в себя	2	5
53	самом деле	2	5
54	и у	3	5
55	и как	6	5
56	и на	8	5
57	его в	3	5
58	и во	3	4
59	и от	3	4
60	мы не	11	4
61	у него	2	4
62	и здесь	2	4
63	такой же	4	4
64	но не	12	4
65	по поводу	6	4
66	в самом	4	4
67	в общем	2	4
68	между собою	7	4
69	мы находим	2	4
70	а не	18	4
71	его не	3	4
72	как на	3	4
73	а в	8	4
74	той же	3	4
75	сказать что	2	4
76	с этим	7	4
77	только в	11	4
78	о том	5	4
79	и это	2	4
80	бы в	2	4
81	как это	2	4
82	это было	2	4
83	не менее	5	3
84	от их	4	3
85	как в	10	3
86	это не	3	3
87	из этих	4	3
88	в одном	6	3
89	что на	3	3
90	но на	2	3
91	есть в	2	3
92	того же	14	3
93	связанные с	2	3
94	то время	4	3
95	для него	10	3
96	от того	5	3
97	до сих	4	3
98	вместе с	11	3
99	но она	3	3
100	сих пор	4	3
101	что она	3	3
102	не было	6	3
103	того что	7	3
104	не имеет	6	3
105	и для	3	3
106	но он	2	3
107	в другом	2	3
108	как он	4	3
109	там где	4	3
110	и образ	2	3
111	только для	5	2
112	не могут	7	2
113	если мы	3	2
114	с тем	4	2
115	независимо от	9	2
116	и есть	2	2
117	себя и	2	2
118	превращается в	2	2
119	хотя бы	2	2
120	относится к	3	2
121	перестает быть	2	2
122	что все	2	2
123	на все	3	2
124	к этому	2	2
125	значение и	2	2
126	слова но	2	2
127	то что	20	2
128	во все	2	2
129	так например	3	2
130	было бы	13	2
131	что это	3	2
132	и если	4	2
133	к ней	2	2
134	может быть	23	2
135	если в	3	2
136	один из	2	2
137	в каждом	2	2
138	слова и	3	2
139	все же	5	2
140	в целом	3	2
141	на него	3	2
142	во времени	2	2
143	так в	4	2
144	и только	6	2
145	при этом	13	2
146	в одно	8	2
147	и что	4	2
148	и притом	3	2
149	рядом с	3	2
150	нас в	2	2
151	пить и	2	2
152	не столько	2	2
153	между тем	6	2
154	мы можем	12	2
155	эти последние	2	2
156	одно из	3	2
157	и вообще	3	2
158	но мы	3	2
159	заметить что	6	2
160	в чем	7	2
161	в эту	3	2
162	том как	3	2
