N	2gram	Voloshinov_1	Hudozhes
1	и в	13	28
2	том что	2	19
3	в ее	3	18
4	и не	8	18
5	своего рода	2	16
6	в том	2	15
7	а не	2	14
8	не в	3	13
9	в этом	2	13
10	как и	3	11
11	при этом	2	11
12	в его	7	11
13	не только	6	11
14	но и	3	9
15	в себе	3	9
16	может быть	8	8
17	так и	3	8
18	между тем	2	8
19	и все	3	7
20	к тому	2	7
21	отношению к	3	7
22	по отношению	3	7
23	то что	6	6
24	в своей	4	6
25	если бы	2	6
26	то же	4	6
27	а в	2	6
28	тем что	2	6
29	для себя	2	6
30	не менее	2	5
31	как бы	6	5
32	как в	2	5
33	да и	3	5
34	что в	3	5
35	в самом	2	5
36	никогда не	3	5
37	и его	12	5
38	для него	2	5
39	превращается в	3	4
40	что они	2	4
41	вслед за	2	4
42	и уже	3	4
43	не может	8	4
44	только в	6	4
45	в них	2	3
46	с другой	2	3
47	в одном	3	3
48	прежде всего	9	3
49	в нем	2	3
50	и ее	2	3
51	самом деле	3	3
52	одной стороны	2	3
53	было бы	4	3
54	несмотря на	2	3
55	в ней	2	3
56	мы уже	2	3
57	все это	4	3
58	на фоне	4	3
59	с одной	2	3
60	так же	2	3
61	с ними	2	3
62	соответствии с	2	3
63	героя и	2	3
64	не столько	3	2
65	не как	3	2
66	вовсе не	2	2
67	а как	2	2
68	или иного	2	2
69	со всей	3	2
70	в г	2	2
71	от своего	2	2
72	и к	2	2
73	того или	2	2
74	а также	2	2
75	не является	4	2
76	все же	5	2
77	данном случае	2	2
78	что же	3	2
79	еще и	4	2
80	те же	2	2
81	в двух	4	2
82	лишь в	4	2
83	и эта	5	2
84	хотя бы	5	2
85	и для	3	2
86	с точки	5	2
87	роль в	2	2
88	в данном	2	2
89	и то	3	2
90	нуждается в	2	2
91	точки зрения	7	2
92	говорить о	3	2
93	в другом	2	2
94	и т.д	5	2
95	нет ничего	2	2
96	но в	4	2
