N	2gram	Voloshinov_1	VerxiiNi
1	и в	16	26
2	таким образом	9	22
3	вместе с	3	15
4	в этом	9	15
5	точки зрения	8	13
6	как бы	5	12
7	в том	3	11
8	может быть	17	10
9	не только	7	10
10	и с	8	10
11	из этих	2	10
12	что в	3	9
13	но и	4	9
14	в области	3	9
15	так как	4	9
16	в общем	3	8
17	и не	4	8
18	связанные с	2	7
19	том что	3	7
20	то что	3	7
21	но в	4	7
22	и потому	3	6
23	того же	2	6
24	всяком случае	3	6
25	что и	2	6
26	так и	4	6
27	все это	4	6
28	все эти	5	6
29	с точки	6	6
30	во всяком	3	6
31	о том	2	6
32	и к	6	5
33	крайней мере	3	5
34	отношение к	5	5
35	до сих	3	5
36	в его	4	5
37	никогда не	2	5
38	сих пор	3	5
39	так же	2	5
40	и для	2	5
41	по крайней	3	5
42	учение о	3	4
43	в этих	3	4
44	что он	2	4
45	в нем	4	4
46	в самом	2	4
47	не может	8	4
48	и только	9	4
49	а в	3	4
50	то же	2	4
51	что оно	2	4
52	и по	2	4
53	с другими	3	4
54	во время	3	4
55	он не	2	4
56	только в	4	4
57	в этой	4	4
58	не менее	2	3
59	же как	2	3
60	что это	2	3
61	хотя бы	4	3
62	к этому	2	3
63	можно сказать	4	3
64	для него	6	3
65	с самого	4	3
66	и как	3	3
67	и о	2	3
68	к ним	2	3
69	при этом	6	3
70	путь к	2	3
71	и даже	4	3
72	с этой	2	3
73	и таким	2	3
74	в одном	3	3
75	не могут	2	2
76	самого начала	4	2
77	с его	7	2
78	ни было	2	2
79	связанных с	2	2
80	в них	2	2
81	сравнению с	3	2
82	только для	5	2
83	прежде всего	9	2
84	в начале	2	2
85	по своему	2	2
86	все что	4	2
87	что мы	2	2
88	еще не	5	2
89	со всеми	2	2
90	конечно не	6	2
91	для всех	4	2
92	и проч	9	2
93	один из	2	2
94	жизни и	3	2
95	во всех	3	2
96	всех других	2	2
97	для этого	2	2
98	те же	3	2
99	в одно	2	2
100	друг на	2	2
101	и на	4	2
102	можно назвать	2	2
103	сказать что	7	2
104	мы можем	9	2
105	и наконец	4	2
106	на друга	2	2
107	по сравнению	3	2
108	и все	4	2
109	и это	6	2
110	и действительно	2	2
