N	2gram	Propp_Isto_1	Mirosoze
1	и в	28	46
2	в нем	2	22
3	может быть	25	21
4	в этом	8	20
5	никогда не	14	18
6	для него	2	18
7	и не	9	18
8	не только	12	18
9	но и	10	15
10	не может	15	15
11	ведет к	2	13
12	как и	4	13
13	не есть	2	13
14	а не	15	13
15	прежде всего	10	12
16	потому что	4	12
17	в ней	7	11
18	и он	3	11
19	но в	8	10
20	он не	2	10
21	в себе	2	10
22	не в	9	9
23	не знает	5	9
24	но это	4	8
25	как бы	2	8
26	в своем	5	8
27	так как	6	8
28	в этой	6	7
29	что он	10	7
30	и потому	2	7
31	как в	2	7
32	хотя бы	4	7
33	и для	4	7
34	вопрос о	5	6
35	что это	8	6
36	так же	7	6
37	того что	4	6
38	и здесь	7	6
39	там и	3	6
40	в русской	2	6
41	то же	12	5
42	я не	3	5
43	и вот	2	5
44	один из	4	5
45	что она	5	5
46	это не	7	5
47	во всем	3	5
48	к тому	6	5
49	то что	9	5
50	и его	3	5
51	в его	5	5
52	что в	12	4
53	для этого	3	4
54	нет в	2	4
55	они не	4	4
56	должны быть	4	4
57	также и	3	4
58	том что	7	4
59	означает что	4	4
60	должен быть	3	4
61	что и	6	4
62	себя в	2	4
63	так и	9	4
64	т е	10	4
65	уже не	3	4
66	к чему	3	4
67	же как	2	3
68	и от	2	3
69	в образе	3	3
70	в такой	2	3
71	в том	9	3
72	что они	5	3
73	не так	2	3
74	и на	4	3
75	сказать что	5	3
76	и с	4	3
77	по своей	2	3
78	о том	9	3
79	его в	6	3
80	как он	2	3
81	с ним	2	3
82	и должно	3	3
83	к которому	5	3
84	не существует	2	3
85	если бы	8	3
86	связано с	2	3
87	до сих	5	3
88	сих пор	5	3
89	и тогда	3	3
90	в глубине	2	3
91	того как	3	3
92	чтобы не	3	3
93	и она	2	3
94	тем что	3	3
95	он в	2	3
96	только в	11	3
97	только с	2	3
98	мы еще	3	2
99	в этих	7	2
100	не всегда	8	2
101	нас не	3	2
102	так что	4	2
103	в действительности	2	2
104	этого вопроса	3	2
105	и если	2	2
106	по отношению	3	2
107	отношения к	2	2
108	должно быть	2	2
109	а в	7	2
110	увидим что	5	2
111	в основе	4	2
112	эта мысль	3	2
113	бы в	2	2
114	между тем	2	2
115	а для	2	2
116	на этом	3	2
117	есть еще	2	2
118	поэтому он	2	2
119	были бы	2	2
120	не означает	2	2
121	превращается в	4	2
122	то он	2	2
123	на природу	2	2
124	тогда когда	2	2
125	по себе	3	2
126	мы видим	11	2
127	связи с	4	2
128	и что	10	2
129	тот же	2	2
130	мы увидим	10	2
131	быть назван	2	2
132	и тот	2	2
133	мысль о	2	2
134	во всех	2	2
135	еще в	2	2
136	отношению к	3	2
137	вместе с	6	2
138	ее в	5	2
139	что же	3	2
140	стоит на	2	2
141	к своему	2	2
142	что не	2	2
143	можно было	5	2
144	нас в	2	2
145	от этого	2	2
146	как будто	4	2
147	которые в	2	2
148	и этим	2	2
149	ничего не	2	2
