N	2gram	Vinokur_Vv_1	Vvedenie
1	при этом	3	28
2	а не	3	21
3	не только	21	20
4	но и	5	20
5	в том	31	19
6	может быть	24	19
7	и не	13	16
8	что такое	10	16
9	состоит в	2	15
10	такого рода	2	15
11	в этом	34	15
12	своего рода	3	14
13	том что	26	13
14	и в	27	13
15	представляет собой	12	13
16	в частности	3	12
17	как и	5	12
18	в данном	11	11
19	отношению к	4	10
20	по отношению	4	10
21	тогда как	2	10
22	прежде всего	8	8
23	в нем	13	8
24	в качестве	7	8
25	данном случае	5	8
26	со стороны	12	8
27	а в	5	8
28	в себе	4	8
29	в своем	3	7
30	с другой	8	7
31	отличие от	3	7
32	не в	8	7
33	но не	7	7
34	одной стороны	4	7
35	хотя и	3	7
36	в котором	4	7
37	в тексте	4	7
38	не может	13	7
39	с одной	4	7
40	в отличие	3	7
41	но в	10	7
42	если бы	2	6
43	в соответствии	2	6
44	в своей	4	6
45	а также	3	6
46	все же	8	6
47	то же	8	6
48	мы имеем	3	6
49	соответствии с	2	6
50	и для	4	5
51	к тому	4	5
52	и его	5	5
53	можно сказать	3	5
54	то что	17	5
55	в своих	2	5
56	и на	3	5
57	в то	5	5
58	как будто	3	5
59	бы и	2	4
60	что в	11	4
61	никогда не	3	4
62	однако в	3	4
63	отношение к	3	4
64	же время	5	4
65	еще не	4	4
66	в его	10	4
67	не с	2	4
68	не к	2	4
69	уже не	5	4
70	самом деле	6	4
71	также и	16	4
72	не столько	2	4
73	могут быть	4	4
74	и т.д	4	4
75	о том	15	4
76	потому что	14	4
77	в области	4	4
78	не менее	8	3
79	в какой	4	3
80	это не	8	3
81	большей части	2	3
82	стороны и	3	3
83	как мы	9	3
84	мы видели	2	3
85	времени и	4	3
86	до конца	3	3
87	было бы	5	3
88	может служить	3	3
89	что и	3	3
90	а именно	6	3
91	внимание на	4	3
92	как раз	4	3
93	таким образом	19	3
94	у нас	2	3
95	в той	7	3
96	того что	12	3
97	одним из	5	3
98	в результате	3	3
99	которое в	2	3
100	говорить о	3	3
101	только в	13	3
102	будто бы	2	3
103	представляют собой	6	3
104	в этих	3	3
105	в виду	4	3
106	зависит от	3	2
107	в этот	2	2
108	должна быть	2	2
109	и есть	3	2
110	в них	4	2
111	мог бы	2	2
112	не как	3	2
113	в одном	4	2
114	так называемой	3	2
115	язык как	3	2
116	и вот	3	2
117	об этом	5	2
118	о которых	2	2
119	тем не	8	2
120	и того	2	2
121	одна из	2	2
122	по своему	5	2
123	и сам	2	2
124	того чтобы	21	2
125	о чем	4	2
126	например в	2	2
127	в начале	3	2
128	в самом	12	2
129	несмотря на	2	2
130	в центре	4	2
131	в ней	3	2
132	себя в	2	2
133	однако не	4	2
134	не имеет	4	2
135	должен быть	4	2
136	и тем	5	2
137	не есть	4	2
138	в целом	5	2
139	быть и	2	2
140	все это	6	2
141	так же	3	2
142	дело с	6	2
143	это только	4	2
144	этом отношении	3	2
145	в течение	5	2
146	хотя в	2	2
147	от себя	3	2
148	о которой	2	2
149	не мог	2	2
150	заключается в	4	2
151	этих случаях	2	2
152	истории в	2	2
153	в принципе	2	2
154	времени в	3	2
155	хотя бы	5	2
156	ни к	2	2
157	мы не	2	2
158	или иначе	4	2
159	не следует	2	2
160	тем что	6	2
161	он и	2	2
162	и ее	4	2
163	о котором	8	2
164	как бы	5	2
165	в первом	5	2
166	в чем	4	2
167	нашего времени	2	2
