N	2gram	Berdyaev_O_1	formyVre
1	и в	19	50
2	в этом	12	25
3	в нем	10	24
4	человека в	11	17
5	и его	4	16
6	прежде всего	9	15
7	и не	13	14
8	в его	7	13
9	так и	2	12
10	человека и	10	11
11	может быть	11	11
12	но в	2	10
13	в том	5	9
14	все эти	4	9
15	в других	2	9
16	не только	11	9
17	с его	4	9
18	ничего не	2	9
19	в самом	5	8
20	но и	13	8
21	и на	2	8
22	жизни в	2	8
23	как и	6	8
24	не было	9	7
25	все же	2	6
26	это не	3	6
27	образ человека	2	6
28	не может	4	6
29	лишь в	7	6
30	так как	2	6
31	у него	22	6
32	и все	10	6
33	то что	5	6
34	в ее	2	6
35	что в	4	5
36	не в	11	5
37	только и	4	5
38	еще не	3	5
39	он не	7	5
40	того чтобы	4	5
41	для того	3	5
42	могут быть	3	5
43	в своем	2	4
44	своей жизни	2	4
45	до конца	7	4
46	этого мира	2	4
47	все это	6	4
48	не имеет	2	4
49	потому что	9	4
50	и с	2	4
51	нет ничего	7	4
52	том что	2	4
53	и для	2	4
54	и то	2	4
55	не могут	3	3
56	в этих	3	3
57	с тем	2	3
58	хотя и	2	3
59	а в	5	3
60	сказать что	2	3
61	одно из	2	3
62	его в	2	3
63	к этому	2	3
64	человек был	3	3
65	и потому	2	3
66	что и	2	3
67	а не	11	3
68	что не	4	3
69	и ее	3	3
70	в себе	3	3
71	уже в	2	2
72	совсем не	2	2
73	никогда не	9	2
74	этом мире	2	2
75	никто не	3	2
76	и нет	2	2
77	что все	2	2
78	вопрос о	10	2
79	момент в	2	2
80	для него	5	2
81	человека о	2	2
82	отношение к	5	2
83	ни с	7	2
84	природы и	2	2
85	в самой	9	2
86	того что	3	2
87	личности и	2	2
88	но он	7	2
89	в истории	2	2
90	с ним	3	2
91	человек и	4	2
92	в романах	4	2
93	по себе	2	2
94	и к	2	2
95	чем в	2	2
96	было бы	3	2
97	к ней	2	2
98	в этот	2	2
99	нем нет	3	2
100	в своей	2	2
101	как бы	3	2
102	ее в	2	2
103	хотя бы	3	2
104	в которой	2	2
105	тем что	2	2
106	он весь	2	2
