N	2gram	Vinokur_St_3	Narrotol
1	не только	12	32
2	может быть	19	25
3	но и	9	23
4	в качестве	4	21
5	и не	10	20
6	и в	25	19
7	то есть	2	19
8	в том	20	18
9	в этом	24	17
10	том что	15	14
11	не в	6	14
12	состоит в	4	13
13	в рамках	2	12
14	а не	5	12
15	своего рода	3	12
16	то что	12	11
17	а в	6	11
18	не может	7	10
19	точки зрения	7	10
20	со стороны	3	9
21	так и	5	9
22	в его	12	9
23	с другой	5	8
24	не является	3	8
25	времени и	2	7
26	как и	4	7
27	еще не	2	7
28	к тому	2	7
29	такого рода	5	7
30	а также	4	7
31	все же	4	7
32	как в	6	7
33	с одной	2	7
34	одной стороны	3	7
35	с его	3	6
36	что он	19	6
37	то в	4	6
38	но не	2	6
39	точка зрения	4	6
40	на протяжении	4	6
41	о том	8	6
42	но в	5	6
43	или иной	2	5
44	можно сказать	4	5
45	в форме	2	5
46	уже не	3	5
47	к нему	4	5
48	и его	3	5
49	в этой	14	5
50	точку зрения	2	4
51	во втором	2	4
52	прежде всего	10	4
53	одного из	2	4
54	у него	9	4
55	что не	2	4
56	то же	5	4
57	но все	2	4
58	при всей	2	4
59	же время	3	4
60	было бы	7	4
61	связи с	3	4
62	одной из	2	4
63	как бы	6	4
64	речь идет	2	4
65	и тем	4	4
66	другой стороны	5	4
67	отличается от	4	4
68	в особенности	4	4
69	из которых	4	4
70	не мог	2	4
71	не столько	2	4
72	в рассказе	3	4
73	сказать что	4	4
74	только в	6	4
75	и с	4	4
76	не менее	2	3
77	а с	2	3
78	что в	19	3
79	могут быть	2	3
80	никогда не	2	3
81	уже в	3	3
82	из этих	6	3
83	в свою	2	3
84	тем не	2	3
85	ни в	5	3
86	что они	2	3
87	одна из	2	3
88	в сущности	2	3
89	в ней	4	3
90	он не	5	3
91	если в	2	3
92	один из	2	3
93	с ее	2	3
94	этом отношении	4	3
95	как мы	2	3
96	и на	6	3
97	между тем	6	3
98	тем что	19	3
99	в то	7	3
100	что это	16	3
101	то она	2	2
102	независимо от	5	2
103	говорит и	2	2
104	себя и	2	2
105	что у	2	2
106	в какой	3	2
107	не как	2	2
108	утверждать что	2	2
109	что именно	2	2
110	а по	2	2
111	его как	3	2
112	есть в	2	2
113	и тот	2	2
114	для него	3	2
115	несмотря на	3	2
116	например в	4	2
117	и др	4	2
118	нет и	2	2
119	не имеет	2	2
120	отношение к	4	2
121	как раз	3	2
122	не на	2	2
123	в связи	3	2
124	и только	2	2
125	не было	4	2
126	все эти	3	2
127	самом деле	2	2
128	что мы	3	2
129	за рамки	2	2
130	и для	4	2
131	с точки	4	2
132	это не	7	2
133	или в	2	2
134	в результате	2	2
135	тем более	3	2
136	одно из	2	2
137	что касается	7	2
138	и ее	2	2
139	но как	2	2
140	говорить о	3	2
141	этого слова	2	2
142	жизни но	2	2
143	ничего не	4	2
144	что по	3	2
145	мы имеем	5	2
146	к которому	3	2
