N	2gram	Bakhtin_Fr_3	Formalny
1	и в	40	38
2	в этом	15	27
3	может быть	9	23
4	и его	17	21
5	таким образом	10	20
6	и не	13	20
7	в самом	6	16
8	прежде всего	16	15
9	не может	3	14
10	в нем	5	13
11	но и	11	13
12	связи с	6	13
13	с его	3	11
14	в том	8	11
15	вовсе не	12	11
16	в его	13	10
17	в связи	5	10
18	с помощью	2	10
19	и с	8	9
20	как и	11	9
21	при этом	3	9
22	не только	13	9
23	что и	3	8
24	все же	2	8
25	так и	3	8
26	самом деле	3	8
27	тем что	3	8
28	точки зрения	2	8
29	что в	12	7
30	для него	5	7
31	слова и	2	7
32	в своей	6	7
33	в корне	2	7
34	язык и	2	7
35	в других	3	7
36	этом отношении	2	7
37	как мы	10	7
38	лишь в	2	7
39	не было	5	6
40	то что	5	6
41	в истории	4	6
42	для понимания	3	6
43	и ее	2	6
44	в ней	4	6
45	в этой	3	6
46	было бы	4	6
47	вместе с	3	6
48	в их	4	6
49	то же	7	6
50	все эти	8	6
51	а не	5	6
52	как раз	5	6
53	в языке	2	6
54	он не	9	6
55	только в	3	6
56	а в	3	6
57	хотя бы	2	6
58	если бы	3	5
59	что он	2	5
60	именно в	2	5
61	это и	2	5
62	же время	6	5
63	по преимуществу	2	5
64	во всех	6	5
65	с этим	2	5
66	и для	5	5
67	еще более	4	5
68	говорит он	2	5
69	в основе	5	5
70	в то	6	5
71	как о	2	4
72	к этому	6	4
73	мы видели	3	4
74	в дальнейшем	2	4
75	чем он	2	4
76	здесь и	5	4
77	в сущности	9	4
78	как бы	3	4
79	и к	3	4
80	из них	4	4
81	вот как	2	4
82	как в	3	4
83	в особенности	5	4
84	и наконец	3	4
85	и даже	4	4
86	даже и	2	4
87	там где	3	4
88	здесь не	3	4
89	они не	3	4
90	так как	4	4
91	но в	8	4
92	одного из	2	3
93	всех этих	3	3
94	и др	7	3
95	с другой	2	3
96	из этих	2	3
97	мы знаем	2	3
98	и здесь	4	3
99	и как	3	3
100	но все	3	3
101	но именно	3	3
102	например в	2	3
103	значительной степени	2	3
104	в целом	2	3
105	жизни и	4	3
106	и до	8	3
107	только на	4	3
108	все это	4	3
109	и прежде	3	3
110	так в	4	3
111	на самом	3	3
112	к нему	2	3
113	в значительной	3	3
114	того чтобы	4	3
115	для того	3	3
116	тем же	2	3
117	особенно в	4	3
118	роль в	4	3
119	мы не	2	3
120	и на	8	3
121	материал и	2	3
122	он и	7	3
123	слова в	2	3
124	но ведь	3	3
125	и все	9	3
126	так сказать	5	3
127	в области	4	3
128	времени и	2	2
129	со всею	3	2
130	уже в	2	2
131	и другие	2	2
132	в этих	6	2
133	для этого	3	2
134	это не	2	2
135	в конце	3	2
136	с нею	2	2
137	представление о	2	2
138	между ними	3	2
139	в ее	3	2
140	до конца	6	2
141	как его	2	2
142	том что	4	2
143	но это	3	2
144	но не	2	2
145	или же	2	2
146	но как	2	2
147	перехода от	2	2
148	кроме того	3	2
149	и о	4	2
150	же и	3	2
151	в котором	2	2
152	даже в	4	2
153	не так	3	2
154	он был	3	2
155	один из	4	2
156	не к	2	2
157	отношение к	8	2
158	ни в	4	2
159	во всей	3	2
160	при анализе	2	2
161	на этом	2	2
162	в последних	2	2
163	и других	6	2
164	в той	6	2
165	в эпоху	8	2
166	что для	2	2
167	отличие от	3	2
168	их в	3	2
169	сказать что	3	2
170	между тем	3	2
171	он в	2	2
172	и от	3	2
173	в отличие	3	2
174	они были	3	2
175	и это	2	2
176	из этого	2	2
177	потому что	2	2
178	в которой	2	2
179	в плане	2	2
180	слово в	3	2
181	в виду	7	2
