N	2gram	Losev_Dial_2	Narrotol
1	не только	19	31
2	но и	12	27
3	и не	30	23
4	при этом	4	19
5	может быть	20	15
6	в частности	2	14
7	как и	10	13
8	а не	16	13
9	а в	4	13
10	только в	5	12
11	в этом	8	12
12	и в	19	11
13	в данном	3	11
14	и его	5	10
15	времени и	9	9
16	то что	14	9
17	во времени	4	9
18	то же	12	8
19	в том	14	8
20	данном случае	2	8
21	не может	9	8
22	уже не	3	8
23	том что	10	7
24	но в	2	7
25	к тому	2	6
26	об этом	3	6
27	не в	8	6
28	в самом	5	6
29	как бы	14	6
30	жизни и	6	6
31	как раз	5	6
32	или в	2	6
33	в себе	15	6
34	в этой	3	6
35	перед нами	2	5
36	можно сказать	5	5
37	той или	4	5
38	в своей	8	5
39	так и	10	5
40	потому что	14	5
41	точки зрения	12	5
42	о чем	3	4
43	никогда не	9	4
44	что на	2	4
45	все же	4	4
46	но не	6	4
47	же время	5	4
48	прежде всего	8	4
49	еще не	4	4
50	к нему	4	4
51	в ней	2	4
52	в нем	10	4
53	в мире	2	4
54	из них	3	4
55	не по	2	4
56	по себе	18	4
57	как в	2	4
58	того что	6	4
59	или не	2	4
60	в то	6	4
61	что у	2	4
62	о том	5	4
63	в одном	4	4
64	не менее	3	3
65	что в	7	3
66	это уже	2	3
67	в своем	4	3
68	это не	10	3
69	в жизни	2	3
70	что он	6	3
71	тем не	2	3
72	и как	10	3
73	самом деле	4	3
74	но как	5	3
75	как известно	2	3
76	он не	4	3
77	не было	3	3
78	именно в	2	3
79	и то	7	3
80	также и	2	3
81	их в	2	3
82	и с	5	3
83	как будто	7	3
84	и все	12	3
85	как это	7	3
86	мы имеем	3	3
87	между тем	2	3
88	стало быть	10	3
89	зависит от	2	2
90	тем или	2	2
91	если она	2	2
92	отнюдь не	6	2
93	в зависимости	2	2
94	в этих	3	2
95	сливаются в	2	2
96	в конце	2	2
97	в сущности	2	2
98	как мы	3	2
99	же в	2	2
100	да и	6	2
101	с ее	2	2
102	зависимости от	2	2
103	по своему	5	2
104	одно и	4	2
105	до сих	2	2
106	она не	8	2
107	или иным	2	2
108	ни о	2	2
109	всяком случае	2	2
110	если в	2	2
111	хотя бы	4	2
112	раз в	2	2
113	себя в	2	2
114	не будет	2	2
115	времени но	2	2
116	вместе с	2	2
117	быть и	4	2
118	дело не	2	2
119	сих пор	2	2
120	в сфере	2	2
121	человеческой жизни	2	2
122	и тогда	3	2
123	другой стороны	4	2
124	только что	5	2
125	в связи	4	2
126	и только	4	2
127	все равно	5	2
128	и вот	4	2
129	в той	3	2
130	что не	6	2
131	тем же	2	2
132	и даже	14	2
133	и притом	7	2
134	времени в	2	2
135	с другой	5	2
136	в таком	4	2
137	ничего не	3	2
138	с ними	2	2
139	сами по	3	2
140	в результате	2	2
141	сказать что	10	2
142	во всяком	2	2
143	и от	3	2
144	связи с	4	2
145	что мы	2	2
146	же самое	2	2
147	в чем	3	2
148	с ним	4	2
149	в области	2	2
150	та же	4	2
151	это было	3	2
