N	2gram	Bakhtin_fo_2	VerxiiNi
1	и в	46	26
2	таким образом	3	22
3	с тем	2	18
4	вместе с	9	15
5	в этом	22	15
6	точки зрения	10	13
7	как бы	10	12
8	в том	10	11
9	может быть	7	10
10	не только	11	10
11	и с	6	10
12	из этих	4	10
13	связи с	8	9
14	что в	5	9
15	но и	9	9
16	так как	6	9
17	с другой	2	8
18	но не	5	8
19	и не	9	8
20	и у	5	8
21	как на	2	8
22	связанные с	5	7
23	том что	4	7
24	из них	8	7
25	то что	7	7
26	в эпоху	4	7
27	с одной	2	7
28	потому что	8	7
29	но в	10	7
30	в конце	2	6
31	представление о	2	6
32	к тому	3	6
33	и потому	2	6
34	того же	3	6
35	что и	3	6
36	все же	6	6
37	так и	7	6
38	все это	6	6
39	в отношении	2	6
40	все эти	5	6
41	с точки	8	6
42	во всяком	2	6
43	в себе	4	6
44	о том	4	6
45	том числе	3	5
46	и к	2	5
47	отношение к	3	5
48	до сих	2	5
49	друг с	4	5
50	в его	8	5
51	никогда не	6	5
52	с другом	4	5
53	сих пор	2	5
54	так же	2	5
55	лишь в	2	5
56	а не	4	5
57	того чтобы	8	5
58	для того	8	5
59	и для	9	5
60	в мире	4	5
61	в этих	3	4
62	и от	2	4
63	что все	2	4
64	что он	3	4
65	в нем	5	4
66	числе и	2	4
67	в смысле	5	4
68	в котором	4	4
69	целый ряд	3	4
70	не может	2	4
71	и только	2	4
72	а в	3	4
73	то же	8	4
74	и по	3	4
75	в которых	3	4
76	бога и	2	4
77	во время	10	4
78	он не	5	4
79	в то	5	4
80	только в	11	4
81	то есть	10	4
82	в этой	2	4
83	далеко не	2	4
84	и другие	3	3
85	к этому	3	3
86	можно сказать	2	3
87	для него	3	3
88	так что	4	3
89	и как	3	3
90	в своем	5	3
91	в качестве	3	3
92	и о	2	3
93	к ним	2	3
94	если в	2	3
95	в связи	8	3
96	при этом	6	3
97	уже не	3	3
98	того что	3	3
99	и даже	3	3
100	у них	2	3
101	с этой	4	3
102	в одном	7	3
103	уже в	4	2
104	на небе	2	2
105	именно в	2	2
106	связанных с	3	2
107	перестает быть	2	2
108	в них	7	2
109	только для	2	2
110	в образе	4	2
111	прежде всего	14	2
112	или иной	2	2
113	ему в	3	2
114	а также	3	2
115	по существу	5	2
116	мы видели	2	2
117	по своему	2	2
118	все что	2	2
119	же время	4	2
120	похож на	2	2
121	тот же	3	2
122	еще не	6	2
123	со всеми	2	2
124	героев и	4	2
125	конечно не	4	2
126	вплоть до	2	2
127	один из	2	2
128	жизни и	8	2
129	во всех	11	2
130	быть и	2	2
131	особенно в	2	2
132	не было	3	2
133	если не	2	2
134	этом отношении	2	2
135	у всех	2	2
136	те же	6	2
137	мы имеем	2	2
138	с телом	2	2
139	в самой	2	2
140	наконец в	2	2
141	друг на	2	2
142	и на	7	2
143	людей и	2	2
144	не в	9	2
145	и наконец	6	2
146	на друга	2	2
147	не могла	2	2
148	же самое	3	2
149	и все	6	2
150	и это	2	2
151	в виду	3	2
