N	2gram	Propp_Isto_7	Formalny
1	т е	16	34
2	и в	24	24
3	прежде всего	2	22
4	и не	4	20
5	так и	5	18
6	не может	14	16
7	точки зрения	4	16
8	в этом	12	15
9	в нем	6	14
10	может быть	14	14
11	таким образом	7	13
12	и т	17	12
13	не менее	5	11
14	как и	6	11
15	в их	4	11
16	вовсе не	4	10
17	и ее	2	10
18	то же	8	10
19	а не	8	10
20	и его	3	10
21	все это	8	9
22	в то	2	9
23	в ее	2	8
24	то что	7	8
25	как в	12	8
26	т д	16	8
27	и на	2	8
28	не в	9	8
29	и от	2	7
30	не только	21	7
31	но и	11	7
32	и все	6	6
33	и здесь	12	6
34	было бы	2	6
35	в том	7	6
36	до сих	2	6
37	она не	2	6
38	еще не	8	6
39	как бы	4	6
40	сих пор	3	6
41	а в	10	6
42	все эти	2	6
43	как это	2	6
44	в литературе	2	5
45	при этом	4	5
46	только на	2	5
47	и др	2	5
48	во всех	7	5
49	в самом	2	5
50	со стороны	2	5
51	как мы	3	5
52	того что	6	5
53	должны быть	3	5
54	с другой	9	5
55	но в	5	5
56	мы увидим	6	4
57	с его	3	4
58	никогда не	4	4
59	стороны и	2	4
60	одной стороны	5	4
61	конечно не	2	4
62	так же	6	4
63	в связи	2	4
64	что в	13	4
65	с одной	5	4
66	задачи и	3	4
67	друг друга	2	4
68	в которой	2	4
69	с этой	6	4
70	но не	6	3
71	всех этих	6	3
72	связи с	3	3
73	в них	3	3
74	что он	21	3
75	но это	3	3
76	так например	2	3
77	не по	2	3
78	но для	2	3
79	он не	6	3
80	в основном	2	3
81	если он	3	3
82	один из	7	3
83	все же	9	3
84	отношение к	5	3
85	когда он	3	3
86	отличается от	2	3
87	в особенности	2	3
88	мы не	4	3
89	и наконец	3	3
90	и даже	3	3
91	его в	3	3
92	от всех	2	3
93	ничем не	2	3
94	в основе	2	3
95	они не	2	3
96	связи со	2	3
97	здесь не	2	3
98	думать что	2	3
99	еще одна	3	2
100	вступает в	3	2
101	же как	4	2
102	в другой	3	2
103	это не	10	2
104	с этим	2	2
105	вопрос о	3	2
106	не можем	2	2
107	том чтобы	3	2
108	но эта	2	2
109	все в	2	2
110	ни в	2	2
111	нас не	2	2
112	уже не	2	2
113	по существу	4	2
114	мы видели	7	2
115	но все	4	2
116	в различных	3	2
117	одна из	7	2
118	только в	6	2
119	в действительности	2	2
120	но есть	3	2
121	не от	2	2
122	и если	3	2
123	одной из	4	2
124	к ней	2	2
125	что и	8	2
126	на него	2	2
127	вместе с	7	2
128	он в	2	2
129	эта связь	3	2
130	и что	10	2
131	не так	2	2
132	его не	2	2
133	на его	2	2
134	ничего не	5	2
135	и это	2	2
136	их на	2	2
137	во всем	2	2
138	с ним	5	2
139	что такое	2	2
