N	2gram	Propp_Isto_6	formyVre
1	и в	26	50
2	в этом	12	25
3	в нем	8	24
4	в греческом	2	24
5	человека в	2	17
6	и его	7	16
7	прежде всего	4	15
8	и не	10	14
9	как мы	4	14
10	вовсе не	2	13
11	в его	5	13
12	так и	5	12
13	может быть	11	11
14	таким образом	12	11
15	мы уже	6	11
16	то же	5	11
17	и как	2	10
18	но в	7	10
19	в том	12	9
20	и др	2	9
21	все эти	8	9
22	в других	4	9
23	в то	5	9
24	не только	10	9
25	с его	4	9
26	ничего не	2	9
27	и т	10	8
28	но и	9	8
29	и на	12	8
30	как и	5	8
31	того же	2	8
32	жизни и	2	8
33	ни в	2	8
34	не было	3	7
35	все же	8	6
36	в частности	3	6
37	это не	4	6
38	например в	7	6
39	не может	6	6
40	так же	2	6
41	так как	18	6
42	у него	7	6
43	с этим	2	6
44	то что	6	6
45	как в	6	6
46	что в	12	5
47	и другие	3	5
48	в образе	10	5
49	не в	3	5
50	и до	2	5
51	время как	3	5
52	но все	2	5
53	если бы	3	5
54	но не	2	5
55	еще не	9	5
56	наряду с	3	5
57	он не	2	5
58	не могло	2	5
59	отношению к	2	5
60	могут быть	3	5
61	в своем	2	4
62	чтобы они	2	4
63	кроме того	3	4
64	на этой	2	4
65	могло быть	2	4
66	не имеет	2	4
67	потому что	13	4
68	и с	6	4
69	в ней	5	4
70	к себе	2	4
71	в них	3	4
72	то время	3	4
73	или как	2	4
74	том что	10	4
75	и то	3	4
76	только в	5	4
77	и это	8	4
78	здесь не	2	4
79	например у	3	3
80	в этих	2	3
81	к тому	2	3
82	связаны с	5	3
83	с тем	4	3
84	при этом	3	3
85	здесь нет	2	3
86	один из	3	3
87	в форме	2	3
88	по отношению	2	3
89	с одной	7	3
90	и других	3	3
91	в одно	2	3
92	они не	3	3
93	а в	3	3
94	вообще не	3	3
95	и те	2	3
96	их в	3	3
97	сказать что	3	3
98	его в	5	3
99	в одном	3	3
100	к этому	3	3
101	к концу	3	3
102	в качестве	3	3
103	что и	4	3
104	вместе с	8	3
105	сих пор	4	3
106	а не	2	3
107	что не	2	3
108	мы не	6	3
109	мы видим	5	3
110	или в	3	3
111	во всяком	2	3
112	быть только	2	3
113	и ее	3	3
114	в себе	3	3
115	до сих	4	3
116	же как	3	2
117	никогда не	13	2
118	с другой	10	2
119	никто не	2	2
120	это то	2	2
121	вопрос о	3	2
122	для нас	2	2
123	одной стороны	7	2
124	нет в	3	2
125	но для	2	2
126	в некоторых	2	2
127	к своему	3	2
128	мы находим	2	2
129	он становится	2	2
130	того что	2	2
131	и по	4	2
132	в которых	2	2
133	в более	6	2
134	но он	2	2
135	что мы	2	2
136	мы должны	2	2
137	как он	6	2
138	с ним	8	2
139	здесь и	2	2
140	стороны и	2	2
141	здесь еще	4	2
142	одна из	2	2
143	было бы	2	2
144	в это	4	2
145	начиная от	2	2
146	а также	4	2
147	в своей	3	2
148	как бы	4	2
149	ее в	6	2
150	борьбе с	2	2
151	уже не	7	2
152	и эта	3	2
153	у них	4	2
154	в данном	3	2
155	если они	3	2
156	от этого	3	2
157	тем что	5	2
158	ту же	2	2
159	здесь совершенно	2	2
160	далеко не	3	2
161	попадает в	3	2
162	там где	5	2
