N	2gram	Voloshinov_1	Hudozhes
1	и не	10	16
2	в том	6	15
3	и в	12	15
4	не только	4	15
5	может быть	14	13
6	при этом	6	12
7	и его	13	12
8	но не	2	11
9	в этом	4	11
10	в себе	3	11
11	как бы	13	10
12	отношению к	11	10
13	но и	3	10
14	так и	4	10
15	по отношению	11	10
16	то же	5	10
17	а не	5	10
18	в его	2	9
19	точки зрения	14	9
20	в душе	2	8
21	с другой	4	7
22	внутренней речи	3	7
23	в то	2	7
24	но в	5	7
25	с его	2	6
26	что в	2	6
27	том что	5	6
28	не в	4	6
29	отношение к	4	6
30	не может	16	6
31	художественного творчества	3	5
32	могут быть	2	5
33	можно сказать	5	5
34	ни в	3	5
35	только в	6	5
36	в самом	4	5
37	того что	3	5
38	в нем	6	5
39	то что	5	5
40	между ними	2	5
41	другой стороны	2	5
42	уже не	4	5
43	героя и	5	5
44	место в	2	4
45	в этих	2	4
46	прежде всего	8	4
47	для него	3	4
48	еще не	3	4
49	он не	2	4
50	в своей	3	4
51	в форме	2	4
52	как к	3	4
53	и то	2	4
54	сказать что	7	4
55	между тем	3	4
56	мы имеем	2	4
57	как это	2	4
58	художественного произведения	7	3
59	не менее	3	3
60	если бы	9	3
61	в отношении	2	3
62	он должен	3	3
63	это не	2	3
64	была бы	2	3
65	как уже	2	3
66	и к	4	3
67	к его	2	3
68	тем не	3	3
69	в пределах	3	3
70	одно и	2	3
71	к содержанию	6	3
72	имеет место	2	3
73	к нему	4	3
74	таким образом	12	3
75	как и	5	3
76	и что	2	3
77	с точки	2	3
78	и для	3	3
79	автора и	2	3
80	и ее	3	3
81	в данном	2	3
82	его в	4	3
83	в художественном	3	3
84	в виду	5	3
85	истории литературы	2	2
86	и более	3	2
87	себя и	2	2
88	в нашем	11	2
89	в своем	2	2
90	в них	3	2
91	этих двух	2	2
92	по себе	3	2
93	к герою	3	2
94	в литературе	4	2
95	одной стороны	2	2
96	за пределы	4	2
97	совпадает с	2	2
98	и потому	2	2
99	частной жизни	2	2
100	оно не	2	2
101	и др	5	2
102	художественное произведение	3	2
103	как в	5	2
104	здесь не	3	2
105	и притом	2	2
106	с одной	2	2
107	все эти	3	2
108	в себя	2	2
109	до известной	2	2
110	и по	3	2
111	высказывания и	2	2
112	так же	3	2
113	с ним	3	2
114	от всех	2	2
115	с другими	2	2
116	и на	4	2
117	известной степени	2	2
118	отношении к	3	2
119	о том	3	2
120	из этого	3	2
121	в чем	2	2
122	бы не	2	2
