N	2gram	Bakhtin_Fr_3	Myshleni
1	то что	5	26
2	что он	2	25
3	в этом	15	25
4	потому что	2	21
5	таким образом	10	19
6	в том	8	18
7	не может	3	18
8	точки зрения	2	18
9	того чтобы	4	17
10	что в	12	16
11	и в	40	16
12	так как	4	16
13	не только	13	16
14	том что	4	15
15	для того	3	14
16	в сущности	9	13
17	сказать что	3	13
18	отношению к	2	12
19	по отношению	3	12
20	и не	13	12
21	в области	4	12
22	отношение к	8	11
23	в его	13	11
24	но не	2	10
25	с помощью	2	10
26	было бы	4	10
27	как мы	10	10
28	а не	5	10
29	только в	3	10
30	может быть	9	9
31	о том	4	8
32	в основе	5	8
33	если бы	3	8
34	как и	11	8
35	он не	9	8
36	то же	7	8
37	и есть	3	7
38	в нем	5	7
39	но он	2	7
40	того же	2	7
41	так и	3	7
42	переход от	2	7
43	в этой	3	6
44	и следовательно	3	6
45	но и	11	6
46	и на	8	6
47	как он	2	6
48	но в	8	6
49	у него	8	6
50	связанные с	3	6
51	в той	6	6
52	в другом	3	6
53	в своем	7	5
54	для него	5	5
55	как бы	3	5
56	хотя бы	2	5
57	еще более	4	5
58	этом отношении	2	5
59	в то	6	5
60	сравнению с	2	5
61	по сравнению	2	5
62	можно сказать	2	5
63	как в	3	5
64	можно было	3	5
65	тем что	3	5
66	в которой	2	5
67	все эти	8	4
68	с другой	2	4
69	это не	2	4
70	это есть	2	4
71	при этом	3	4
72	в самом	6	4
73	в целом	2	4
74	в свете	3	4
75	именно в	2	4
76	в системе	2	4
77	в состоянии	2	4
78	мы видим	5	4
79	как известно	2	4
80	еще не	3	4
81	вместе с	3	4
82	той же	8	4
83	не менее	2	3
84	в частности	3	3
85	прежде всего	16	3
86	мы знаем	2	3
87	и как	3	3
88	но это	3	3
89	самом деле	3	3
90	но как	2	3
91	до конца	6	3
92	речи так	2	3
93	к нему	2	3
94	мы видели	3	3
95	в их	4	3
96	еще и	2	3
97	они не	3	3
98	а в	3	3
99	больше чем	2	3
100	и с	8	3
101	в этих	6	3
102	к этой	3	3
103	между тем	3	3
104	мы не	2	3
105	к жизни	2	3
106	с этим	2	3
107	в одном	7	3
108	к этому	6	3
109	включает в	2	3
110	все же	2	3
111	это и	2	3
112	одной из	2	3
113	устной и	2	3
114	никак не	3	3
115	еще в	3	3
116	что и	3	3
117	сих пор	4	3
118	на этом	2	3
119	и его	17	3
120	он в	2	3
121	связи с	6	3
122	до сих	4	3
123	только для	3	2
124	до того	2	2
125	и другие	2	2
126	и от	3	2
127	но все	3	2
128	на его	2	2
129	одним из	2	2
130	его отношение	2	2
131	в ней	4	2
132	в виду	7	2
133	основе этого	2	2
134	в котором	2	2
135	в своей	6	2
136	из них	4	2
137	в отличие	3	2
138	все это	4	2
139	язык и	2	2
140	те же	5	2
141	образом в	2	2
142	и даже	4	2
143	что для	2	2
144	на основе	2	2
145	в своих	5	2
146	говорит он	2	2
147	и здесь	4	2
148	в истории	4	2
149	их в	3	2
150	в более	3	2
151	в этот	2	2
152	поэтому он	3	2
153	о чем	2	2
154	на их	2	2
155	в них	9	2
156	что было	2	2
157	вовсе не	12	2
158	быть в	2	2
159	и к	3	2
160	отличие от	3	2
161	у нас	4	2
162	во всем	3	2
163	все что	2	2
164	чем он	2	2
165	со всеми	5	2
166	жизни и	4	2
167	в первой	2	2
168	в корне	2	2
169	и потому	4	2
170	во всех	6	2
171	только на	4	2
172	должны быть	2	2
173	при анализе	2	2
174	на протяжении	3	2
175	из этого	2	2
