N	2gram	Savitsky_E_1	Psycholo
1	то что	6	37
2	и в	37	30
3	в том	11	27
4	что в	21	24
5	и что	2	23
6	потому что	3	23
7	том что	6	21
8	для того	6	20
9	таким образом	2	20
10	того чтобы	6	20
11	как бы	6	19
12	на то	6	17
13	и мы	3	16
14	не только	18	16
15	в самом	4	14
16	в этом	12	14
17	так же	9	13
18	то есть	6	13
19	одной стороны	8	12
20	вместе с	2	12
21	с одной	8	12
22	если бы	2	11
23	может быть	6	11
24	как на	3	11
25	о том	3	10
26	никогда не	3	9
27	с другой	7	9
28	не может	9	9
29	и то	2	9
30	сказать что	4	9
31	так как	7	9
32	с тем	3	8
33	что это	2	8
34	к тому	8	8
35	не в	5	8
36	а не	2	8
37	того что	7	8
38	заключается в	2	8
39	мы видим	2	8
40	могут быть	2	8
41	по себе	4	7
42	и как	2	7
43	но не	5	7
44	мы можем	3	7
45	совершенно прав	2	7
46	то же	15	7
47	точки зрения	23	7
48	как это	4	7
49	в своем	14	6
50	именно в	4	6
51	как и	7	6
52	что если	2	6
53	и если	2	6
54	и тем	3	6
55	и для	3	6
56	но и	14	6
57	что все	2	6
58	и не	14	6
59	жизни и	2	6
60	или в	2	6
61	тем что	3	6
62	как будто	2	6
63	с и	10	5
64	совершенно очевидно	2	5
65	несмотря на	4	5
66	как мы	5	5
67	и потому	5	5
68	в этой	2	5
69	было бы	8	5
70	когда он	3	5
71	другой стороны	2	5
72	в своих	2	5
73	в себе	9	5
74	но в	14	5
75	только в	9	5
76	бы в	2	5
77	в результате	3	4
78	в частности	5	4
79	сравнению с	2	4
80	и все	2	4
81	этот вопрос	2	4
82	прежде всего	9	4
83	стороны и	6	4
84	говорит о	3	4
85	есть не	2	4
86	и к	3	4
87	в своей	8	4
88	в ней	4	4
89	в его	2	4
90	заключает в	3	4
91	в них	3	4
92	не есть	2	4
93	по сравнению	2	4
94	а в	2	4
95	там где	3	4
96	не можем	2	4
97	не могут	2	3
98	обстоит дело	3	3
99	хотя бы	15	3
100	именно потому	2	3
101	чем больше	2	3
102	вовсе не	6	3
103	вопрос о	4	3
104	что на	2	3
105	для нас	4	3
106	в свою	3	3
107	друг с	3	3
108	имеет место	2	3
109	он не	2	3
110	в ее	8	3
111	что и	3	3
112	данном случае	2	3
113	так и	10	3
114	со стороны	5	3
115	как в	3	3
116	в их	11	3
117	и только	3	3
118	этом отношении	3	3
119	из того	2	3
120	и сейчас	2	3
121	в той	5	3
122	с другом	3	3
123	и наконец	2	3
124	на этот	2	3
125	в таком	3	3
126	целый ряд	2	3
127	мы не	4	3
128	можно было	3	3
129	в силу	2	3
130	в психологии	3	3
131	и на	6	3
132	в каком	4	3
133	в данном	3	3
134	мы должны	2	3
135	в этих	2	3
136	и поэтому	2	3
137	с этой	6	2
138	в отношении	32	2
139	же как	5	2
140	к которым	5	2
141	между собой	2	2
142	не является	3	2
143	наше внимание	2	2
144	с этим	2	2
145	в одном	2	2
146	что эти	2	2
147	этом смысле	3	2
148	или иной	4	2
149	можно сказать	4	2
150	и можно	2	2
151	же в	2	2
152	и того	2	2
153	чем в	4	2
154	очевидно что	3	2
155	того же	3	2
156	или вернее	2	2
157	должна быть	2	2
158	не дает	3	2
159	это значит	2	2
160	от друга	2	2
161	и та	2	2
162	по преимуществу	2	2
163	и эта	2	2
164	той или	4	2
165	в качестве	14	2
166	мог бы	2	2
167	в котором	2	2
168	себе не	3	2
169	которое существует	2	2
170	друг от	2	2
171	из них	3	2
172	во всех	6	2
173	нам кажется	7	2
174	и таким	2	2
175	которого мы	2	2
176	но еще	2	2
177	в течение	5	2
178	которую мы	5	2
179	с точки	17	2
180	и даже	6	2
181	между ними	2	2
182	в сферу	2	2
183	в которых	3	2
184	и с	2	2
185	само по	4	2
186	с мы	2	2
187	в то	16	2
188	его на	2	2
189	дело в	3	2
190	в полной	4	2
