N	2gram	Losev_Prob_5	Poddanst
1	не только	18	17
2	и в	30	14
3	и не	12	12
4	в области	2	11
5	в отношении	3	10
6	в этом	17	10
7	то же	2	9
8	в том	12	9
9	в качестве	4	9
10	но в	9	9
11	хотя бы	2	8
12	в то	4	7
13	только в	9	7
14	но и	13	6
15	в ней	3	6
16	в смысле	4	6
17	было бы	4	6
18	с другой	6	5
19	не в	7	5
20	и о	5	5
21	может быть	7	5
22	же в	3	4
23	в котором	2	4
24	то что	18	4
25	что в	5	4
26	в своем	11	4
27	не может	5	4
28	по себе	2	4
29	и к	4	4
30	а в	6	4
31	том что	17	4
32	в русской	3	4
33	а также	3	4
34	как бы	6	4
35	в нем	6	3
36	с тем	5	3
37	в сравнении	3	3
38	и без	2	3
39	это не	2	3
40	с одной	3	3
41	прежде всего	6	3
42	для того	3	3
43	с точки	8	3
44	мы не	2	3
45	сравнении с	3	3
46	и как	6	3
47	между тем	2	3
48	но не	7	3
49	точки зрения	10	3
50	в себе	4	3
51	тот же	3	3
52	одной стороны	3	3
53	наряду с	2	3
54	вслед за	2	3
55	потому что	13	3
56	хотя и	8	3
57	не менее	5	2
58	ii в	2	2
59	том числе	2	2
60	и тем	3	2
61	не к	2	2
62	для них	3	2
63	именно в	3	2
64	в частности	4	2
65	отнюдь не	4	2
66	iii в	4	2
67	в них	2	2
68	как раз	5	2
69	еще более	3	2
70	эта идея	2	2
71	в значительной	2	2
72	а не	5	2
73	того что	3	2
74	для нас	10	2
75	в ее	3	2
76	есть в	2	2
77	в силу	5	2
78	в виде	10	2
79	в начале	3	2
80	в европе	2	2
81	из них	2	2
82	значительной мере	2	2
83	никак не	8	2
84	да и	2	2
85	в его	12	2
86	и с	5	2
