N	3gram	Ircho_Kome_3	EvropaiC
1	в том что	9	16
2	до сих пор	9	12
3	по отношению к	3	10
4	с точки зрения	3	8
5	для того чтобы	6	6
6	по сравнению с	2	5
7	в самом деле	6	5
8	о том что	4	4
9	тем не менее	3	4
10	в конце концов	2	4
11	с другой стороны	2	4
12	в этом случае	2	4
13	к тому же	4	4
14	в связи с	3	3
15	так или иначе	2	3
16	в то же	4	2
17	из того же	2	2
18	в свою очередь	6	2
19	то же время	4	2
20	с одной стороны	3	2
21	то ни было	2	2
22	бы то ни	2	2
23	во всяком случае	3	2
24	именно потому что	2	2
25	но все же	2	2
26	вместе с тем	3	2
