N	2gram	Nazirov_Vr_1	Problema
1	и не	5	28
2	не только	9	24
3	в том	3	20
4	и в	8	20
5	то что	7	15
6	но и	7	14
7	точки зрения	2	14
8	в себе	2	12
9	том что	3	12
10	с точки	2	11
11	не менее	2	10
12	отнюдь не	2	10
13	и его	3	10
14	при помощи	2	10
15	может быть	4	9
16	все это	4	9
17	и даже	6	9
18	в этом	8	9
19	что он	4	8
20	таким образом	2	8
21	в той	2	8
22	и все	7	8
23	но в	6	8
24	это не	4	7
25	еще не	2	7
26	то же	5	7
27	и с	6	7
28	в ней	4	7
29	об этом	5	6
30	а также	2	6
31	для нас	4	6
32	как и	6	6
33	но это	2	6
34	при этом	4	6
35	в виду	4	6
36	в нем	6	5
37	и о	3	5
38	вместе с	2	5
39	так же	4	5
40	не может	2	5
41	в них	2	5
42	уже не	2	5
43	о том	4	5
44	уже в	4	4
45	у достоевского	4	4
46	и во	3	4
47	и ее	2	4
48	в этой	2	4
49	несмотря на	4	4
50	в своей	2	4
51	как бы	4	4
52	тем более	2	4
53	же в	2	4
54	а в	2	4
55	как раз	2	4
56	в то	5	4
57	с ним	4	4
58	в связи	3	3
59	человека в	3	3
60	о себе	3	3
61	он был	3	3
62	для него	2	3
63	и как	3	3
64	в начале	6	3
65	связи с	3	3
66	в истории	4	3
67	в его	3	3
68	что в	7	3
69	в своем	3	3
70	не было	5	3
71	тем что	3	3
72	из них	2	3
73	но как	2	3
74	в известном	2	2
75	столь же	2	2
76	в конце	3	2
77	с его	3	2
78	как же	2	2
79	в это	2	2
80	и некрасова	2	2
81	он не	3	2
82	в котором	6	2
83	все же	6	2
84	он тоже	2	2
85	там же	2	2
86	и что	8	2
87	и он	2	2
88	что к	2	2
89	и то	2	2
90	далеко не	3	2
91	его в	3	2
92	и это	2	2
93	в чем	3	2
