N	2gram	Potebnia_M_3	Hudozhes
1	то есть	34	18
2	и не	15	16
3	в том	32	15
4	и в	30	15
5	не только	21	15
6	может быть	28	13
7	тогда как	2	13
8	при этом	3	12
9	а в	12	12
10	и его	4	12
11	но не	7	11
12	в этом	10	11
13	в себе	16	11
14	как бы	3	10
15	отношению к	5	10
16	но и	19	10
17	так и	11	10
18	по отношению	5	10
19	то же	23	10
20	а не	15	10
21	в его	4	9
22	точки зрения	2	9
23	в душе	10	8
24	с другой	7	7
25	в искусстве	3	7
26	в то	10	7
27	я и	3	7
28	что в	17	6
29	в ее	2	6
30	том что	18	6
31	не в	15	6
32	же время	5	6
33	отношение к	2	6
34	не может	6	6
35	могут быть	3	5
36	можно сказать	3	5
37	ни в	2	5
38	только в	21	5
39	тем самым	7	5
40	в самом	8	5
41	того что	18	5
42	в нем	9	5
43	то что	18	5
44	или менее	3	5
45	другой стороны	4	5
46	в их	2	5
47	уже не	6	5
48	более или	3	5
49	место в	3	4
50	не столько	2	4
51	прежде всего	3	4
52	к тому	7	4
53	а только	3	4
54	и как	5	4
55	для него	9	4
56	еще не	5	4
57	например в	6	4
58	он не	4	4
59	и тем	5	4
60	в своей	2	4
61	произведения искусства	2	4
62	со стороны	3	4
63	в форме	2	4
64	входит в	2	4
65	в слове	32	4
66	и то	8	4
67	сказать что	5	4
68	между тем	9	4
69	говорить о	3	4
70	не знает	3	4
71	художественного произведения	5	3
72	не менее	5	3
73	если бы	12	3
74	была бы	4	3
75	что он	6	3
76	тем не	3	3
77	по своему	2	3
78	в свою	3	3
79	одно и	5	3
80	со своей	2	3
81	к содержанию	3	3
82	человеческой жизни	3	3
83	далеко не	4	3
84	к нему	3	3
85	не будет	3	3
86	в целом	3	3
87	так в	2	3
88	таким образом	14	3
89	как и	10	3
90	и что	10	3
91	в таком	3	3
92	не следует	5	3
93	их в	2	3
94	потому что	46	3
95	его в	3	3
96	в произведении	3	3
97	в которой	3	3
98	в области	2	3
99	на деле	5	3
100	слова в	7	2
101	сама по	2	2
102	таком случае	2	2
103	себя и	4	2
104	так или	2	2
105	тому что	3	2
106	в своем	5	2
107	в них	5	2
108	не как	2	2
109	в одном	2	2
110	человека и	5	2
111	вовсе не	7	2
112	по себе	16	2
113	для понимания	4	2
114	к своему	2	2
115	об этом	2	2
116	тем более	4	2
117	произведении искусства	4	2
118	есть в	3	2
119	свою очередь	3	2
120	слова не	2	2
121	могла бы	2	2
122	одной стороны	3	2
123	несмотря на	2	2
124	никто не	3	2
125	за пределы	2	2
126	и о	2	2
127	одной из	2	2
128	и потому	4	2
129	даже в	2	2
130	для себя	3	2
131	оно не	4	2
132	не все	4	2
133	образом и	3	2
134	художественное произведение	6	2
135	как в	10	2
136	собственно говоря	2	2
137	я как	5	2
138	а с	2	2
139	на свою	2	2
140	и притом	2	2
141	с одной	7	2
142	именно в	3	2
143	это и	2	2
144	того чтобы	3	2
145	для того	4	2
146	и по	4	2
147	или в	3	2
148	я думаю	2	2
149	так же	3	2
150	с ним	6	2
151	с другими	5	2
152	и на	3	2
153	в силу	3	2
154	у него	2	2
155	одно из	5	2
156	языка в	5	2
157	но как	2	2
158	в этой	2	2
159	отношении к	2	2
160	о том	2	2
161	и это	4	2
162	в чем	3	2
163	бы не	4	2
164	для меня	4	2
