N	2gram	Medvedev_S_1	Istorich
1	и в	3	28
2	может быть	2	25
3	для нас	3	13
4	что в	2	12
5	то же	2	12
6	не только	3	12
7	только в	2	11
8	но и	2	10
9	и что	2	10
10	в том	5	9
11	то что	2	9
12	не в	3	9
13	таким образом	2	8
14	в этом	5	8
15	том что	2	7
16	еще не	2	7
17	было бы	2	7
18	должна быть	2	5
19	по существу	2	5
20	дело не	2	5
21	в его	3	5
22	к которому	2	5
23	все это	7	4
24	как будто	2	4
25	отношению к	2	3
26	или даже	2	3
27	по отношению	2	3
28	в частности	2	2
29	и мы	2	2
30	как бы	2	2
31	и только	3	2
