N	2gram	Berdyaev_O_1	Literetu
1	а не	11	20
2	и в	19	19
3	может быть	11	17
4	и не	13	11
5	в том	5	10
6	как и	6	10
7	но и	13	10
8	не может	4	9
9	в этом	12	9
10	не только	11	8
11	том что	2	7
12	то что	5	7
13	так и	2	7
14	в себе	3	6
15	и на	2	6
16	он не	7	5
17	того что	3	5
18	что в	4	4
19	жизни в	2	4
20	прежде всего	9	4
21	не в	11	4
22	для него	5	4
23	в его	7	4
24	человека в	11	4
25	так что	2	4
26	тем что	2	4
27	в русской	3	4
28	никогда не	9	3
29	быть может	3	3
30	что он	3	3
31	в нем	10	3
32	в этой	5	3
33	и он	8	3
34	и для	2	3
35	так как	2	3
36	а в	5	3
37	и его	4	3
38	и то	2	3
39	и с	2	3
40	как к	2	3
41	в другом	2	3
42	ничего не	2	3
43	уже в	2	2
44	не было	9	2
45	с тем	2	2
46	у него	22	2
47	него не	2	2
48	все еще	2	2
49	и к	2	2
50	о которой	2	2
51	в ее	2	2
52	все что	3	2
53	и нет	2	2
54	ведь это	2	2
55	до конца	7	2
56	еще не	3	2
57	было бы	3	2
58	как бы	3	2
59	что и	2	2
60	все же	2	2
61	могут быть	3	2
62	в истории	2	2
63	мысли и	3	2
64	для того	3	2
65	что не	4	2
66	хотя бы	3	2
67	в своих	3	2
68	потому что	9	2
69	одно из	2	2
70	даже и	2	2
71	во имя	3	2
72	о том	3	2
73	в россии	5	2
74	к этой	2	2
75	с ним	3	2
76	но в	2	2
