N	2gram	Tiupa_Anal_2	Russkaja
1	не может	4	22
2	и не	12	19
3	в том	12	17
4	в этом	18	17
5	и в	16	14
6	то что	7	13
7	таким образом	2	11
8	то же	4	11
9	точки зрения	4	11
10	же время	2	10
11	но и	12	10
12	в то	2	10
13	том что	12	9
14	не только	16	9
15	в себе	7	9
16	с точки	2	9
17	может быть	6	9
18	прежде всего	3	8
19	отнюдь не	8	7
20	к тому	7	7
21	и если	3	7
22	в данном	8	7
23	о том	7	7
24	если бы	3	6
25	и к	5	6
26	для него	4	6
27	для всех	2	6
28	все это	4	6
29	в своем	4	6
30	и для	2	6
31	на то	2	5
32	и на	6	5
33	или иной	3	5
34	при этом	10	5
35	было бы	3	5
36	в своей	2	5
37	он не	2	5
38	никогда не	3	5
39	во всех	4	5
40	по существу	2	5
41	а в	3	5
42	только в	4	5
43	между тем	2	5
44	но не	4	4
45	что в	2	4
46	в мире	6	4
47	как и	14	4
48	все что	2	4
49	как бы	10	4
50	себя в	2	4
51	вместе с	2	4
52	со стороны	3	4
53	в их	3	4
54	приводит к	3	4
55	не в	4	4
56	можно было	3	4
57	и то	3	4
58	в этой	9	4
59	в его	2	4
60	и т.д	3	4
61	его в	2	4
62	именно в	3	3
63	в конце	4	3
64	что все	2	3
65	этом случае	4	3
66	лишь в	9	3
67	в качестве	11	3
68	еще не	2	3
69	несмотря на	3	3
70	в самом	6	3
71	одной из	3	3
72	той или	3	3
73	что и	3	3
74	не есть	2	3
75	из них	3	3
76	данном случае	5	3
77	борьбе с	2	3
78	сводится к	3	3
79	в значительной	2	3
80	того что	2	3
81	или в	3	3
82	тем что	3	3
83	и во	2	3
84	говорить о	6	3
85	в сознании	4	3
86	место в	3	2
87	в частности	16	2
88	у него	4	2
89	будучи по	2	2
90	состоит в	8	2
91	или иного	3	2
92	по себе	2	2
93	уже не	4	2
94	так что	3	2
95	в борьбе	2	2
96	что с	2	2
97	проявляется в	3	2
98	она не	2	2
99	и является	4	2
100	в котором	2	2
101	речь идет	2	2
102	для нее	2	2
103	и тем	4	2
104	на этой	2	2
105	по отношению	4	2
106	это только	2	2
107	тогда как	19	2
108	отношения к	2	2
109	только на	3	2
110	тем самым	4	2
111	а не	10	2
112	и даже	9	2
113	не так	4	2
114	так же	2	2
115	в таком	2	2
116	в результате	3	2
117	не о	2	2
118	на себя	5	2
119	с самим	3	2
120	того или	3	2
121	в таких	2	2
122	как будто	3	2
123	в этих	2	2
124	с ним	2	2
125	но в	6	2
