N	2gram	Berdyaev_V_1	Istorich
1	и в	16	28
2	и т	2	25
3	т д	2	22
4	а не	7	15
5	никогда не	3	14
6	для нас	2	13
7	что в	3	12
8	не только	2	12
9	только в	2	11
10	что он	4	10
11	прежде всего	2	10
12	но и	5	10
13	мы не	2	10
14	и что	3	10
15	в том	3	9
16	то что	9	9
17	и не	20	9
18	не в	3	9
19	так и	4	9
20	в этом	4	8
21	но в	3	8
22	в этих	3	7
23	это не	2	7
24	том что	2	7
25	еще не	8	7
26	в ней	4	7
27	а в	2	7
28	что мы	4	7
29	к тому	3	6
30	вслед за	2	6
31	что и	3	6
32	так как	9	6
33	должна быть	3	5
34	ты не	5	5
35	что они	7	5
36	но не	2	5
37	ее в	2	5
38	можно было	2	5
39	их в	3	5
40	в его	4	5
41	все это	5	4
42	с тем	2	4
43	превращается в	3	4
44	но это	3	4
45	один из	2	4
46	как и	4	4
47	того что	5	4
48	хотя бы	3	4
49	и для	3	4
50	потому что	4	4
51	могут быть	2	4
52	все эти	3	4
53	в образе	4	3
54	не с	2	3
55	в котором	4	3
56	это дело	2	3
57	то это	3	3
58	в форме	2	3
59	и тогда	2	3
60	уже не	2	3
61	к чему	3	3
62	тем что	2	3
63	что от	2	2
64	а с	2	2
65	не могут	2	2
66	его и	2	2
67	что их	2	2
68	и потому	7	2
69	но мы	2	2
70	одна из	2	2
71	для него	2	2
72	тот же	3	2
73	и мы	3	2
74	что не	4	2
75	за то	3	2
76	с ним	2	2
77	как бы	5	2
78	по этому	3	2
79	в нем	4	2
80	не есть	6	2
81	во всех	3	2
82	конечно не	2	2
83	всего в	2	2
84	мы хотим	4	2
85	от этих	2	2
86	не так	2	2
87	должно быть	3	2
88	между тем	2	2
89	от этого	3	2
