N	2gram	Tiupa_Hudo_1	Myslijsy
1	потому что	5	52
2	и в	14	39
3	может быть	5	27
4	в том	12	26
5	т с	4	25
6	только в	5	25
7	что в	6	22
8	не может	7	22
9	а не	12	21
10	не только	12	21
11	в нем	3	20
12	но и	5	20
13	и не	2	18
14	том что	16	16
15	так что	2	16
16	не в	7	15
17	в этом	11	15
18	если бы	3	14
19	отношению к	8	13
20	так и	13	13
21	по отношению	8	13
22	в себе	11	13
23	было бы	6	12
24	в человеке	2	10
25	мы не	2	10
26	по себе	2	10
27	что не	2	10
28	то что	8	10
29	как в	8	10
30	и что	2	10
31	как и	9	9
32	там же	2	9
33	тем что	3	9
34	но в	5	9
35	но не	3	8
36	со стороны	3	8
37	того что	4	8
38	точки зрения	5	8
39	должно быть	2	7
40	в ней	4	7
41	с этим	3	7
42	это не	7	7
43	то и	3	7
44	в этих	5	7
45	не менее	5	6
46	тем не	4	6
47	еще не	7	6
48	что на	2	6
49	как бы	7	6
50	все же	3	6
51	и т	11	6
52	то же	9	6
53	при этом	12	6
54	и по	3	6
55	несмотря на	4	5
56	то в	4	5
57	и потому	2	5
58	что при	3	5
59	в его	8	5
60	не имеют	3	5
61	а в	7	5
62	и для	3	5
63	не имеет	2	5
64	друг друга	5	5
65	и его	5	5
66	в таком	3	5
67	не следует	2	5
68	между тем	8	5
69	никогда не	6	4
70	однако в	2	4
71	вопрос о	2	4
72	прежде всего	11	4
73	а только	4	4
74	от него	3	4
75	же время	8	4
76	для него	10	4
77	в действительности	4	4
78	к тому	7	4
79	в своих	3	4
80	мысли о	2	4
81	т п	8	4
82	т д	3	4
83	не было	4	4
84	и даже	3	4
85	в то	8	4
86	только для	2	3
87	с другим	2	3
88	тому что	4	3
89	столь же	4	3
90	а его	2	3
91	как кажется	2	3
92	и от	4	3
93	и это	4	3
94	бытия и	4	3
95	о котором	2	3
96	как она	2	3
97	только потому	2	3
98	в этой	8	3
99	в своем	4	3
100	она не	4	3
101	только на	2	3
102	в своей	10	3
103	для себя	3	3
104	в мире	3	3
105	связи с	4	3
106	в самом	4	3
107	на него	2	3
108	по мнению	5	3
109	общей жизни	2	3
110	к этой	3	3
111	той же	2	3
112	с ним	4	3
113	в глазах	6	3
114	хотя и	2	3
115	он не	4	3
116	с точки	3	3
117	и все	4	3
118	с и	2	3
119	и другое	2	3
120	том как	3	3
121	и с	4	3
122	но как	2	3
123	слова в	2	2
124	не представляется	2	2
125	но он	3	2
126	с этой	2	2
127	но с	2	2
128	ключ к	2	2
129	на то	4	2
130	как мы	3	2
131	же в	3	2
132	жизни и	5	2
133	уже не	7	2
134	за ним	2	2
135	человека не	2	2
136	того чтобы	3	2
137	на себе	2	2
138	xviii в	2	2
139	значительной степени	2	2
140	и о	4	2
141	никак не	2	2
142	для нее	2	2
143	с ее	2	2
144	в целом	2	2
145	заключает в	2	2
146	что же	2	2
147	в их	2	2
148	только что	4	2
149	тогда как	7	2
150	при котором	2	2
151	влияние на	2	2
152	в начале	2	2
153	видно что	2	2
154	как будто	4	2
155	о том	12	2
156	нет ничего	2	2
157	со мною	2	2
158	так сказать	2	2
159	заметить что	2	2
