N	2gram	Tiupa_Hudo_1	Hudozhes
1	в мире	3	23
2	в качестве	9	19
3	состоит в	2	16
4	и не	2	16
5	в том	12	15
6	и в	14	15
7	не только	12	15
8	в частности	5	13
9	может быть	5	13
10	тогда как	7	13
11	при этом	12	12
12	а в	7	12
13	и его	5	12
14	но не	3	11
15	в этом	11	11
16	в себе	11	11
17	как бы	7	10
18	отношению к	8	10
19	но и	5	10
20	так и	13	10
21	по отношению	8	10
22	то же	9	10
23	а не	12	10
24	такого рода	3	9
25	в его	8	9
26	точки зрения	5	9
27	в рамках	2	8
28	себя в	4	8
29	своего рода	7	8
30	в то	8	7
31	но в	5	7
32	я и	2	7
33	с его	5	6
34	что в	6	6
35	художественного письма	2	6
36	в ее	3	6
37	том что	16	6
38	не в	7	6
39	же время	8	6
40	в тексте	3	6
41	приводит к	3	6
42	не может	7	6
43	по своей	4	6
44	художественности в	2	5
45	можно сказать	4	5
46	а также	3	5
47	ни в	5	5
48	только в	5	5
49	художественной реальности	3	5
50	в самом	4	5
51	того что	4	5
52	в нем	3	5
53	с ее	2	5
54	то что	8	5
55	в их	2	5
56	уже не	7	5
57	картина мира	4	5
58	героя и	5	5
59	художественного восприятия	2	4
60	в этих	5	4
61	не столько	2	4
62	личности в	7	4
63	прежде всего	11	4
64	к тому	7	4
65	а только	4	4
66	в ходе	3	4
67	в другом	2	4
68	внутреннего я	2	4
69	для него	10	4
70	еще не	7	4
71	например в	2	4
72	хотя и	2	4
73	он не	4	4
74	жизни как	2	4
75	в своей	10	4
76	со стороны	3	4
77	в форме	2	4
78	как к	3	4
79	между тем	8	4
80	говорить о	3	4
81	не знает	2	4
82	личности и	2	3
83	не менее	5	3
84	если бы	3	3
85	однако в	2	3
86	конечном счете	2	3
87	это не	7	3
88	или иного	2	3
89	что он	9	3
90	и к	4	3
91	тем не	4	3
92	в пределах	3	3
93	по своему	3	3
94	читателя в	6	3
95	иначе говоря	2	3
96	несет в	3	3
97	того или	2	3
98	как раз	4	3
99	художественного целого	4	3
100	в конечном	2	3
101	человеческой жизни	4	3
102	авторской позиции	2	3
103	в целом	2	3
104	картины мира	4	3
105	так в	2	3
106	как и	9	3
107	лишь в	3	3
108	и что	2	3
109	с точки	3	3
110	и для	3	3
111	в таком	3	3
112	не следует	2	3
113	в рассказе	11	3
114	не случайно	7	3
115	потому что	5	3
116	автора и	2	3
117	но он	3	3
118	как правило	6	3
119	в русской	4	3
120	его в	3	3
121	в художественном	2	3
122	всего лишь	4	3
123	слова в	2	2
124	на этом	3	2
125	в творческом	3	2
126	речь идет	3	2
127	ни к	2	2
128	себя и	2	2
129	так или	2	2
130	тому что	4	2
131	жизни в	6	2
132	в своем	4	2
133	превращается в	3	2
134	способ существования	2	2
135	человеческого я	4	2
136	по себе	2	2
137	в литературе	3	2
138	совершенно иной	2	2
139	при всей	2	2
140	к своему	2	2
141	об этом	5	2
142	идет о	3	2
143	теории литературы	2	2
144	одна из	2	2
145	в значительной	2	2
146	в аспекте	5	2
147	внутреннего мира	2	2
148	несмотря на	4	2
149	значительной степени	2	2
150	личности к	2	2
151	и о	4	2
152	одной из	2	2
153	и потому	2	2
154	к жизни	5	2
155	даже в	3	2
156	для себя	3	2
157	художественного мира	2	2
158	по преимуществу	3	2
159	русской литературе	3	2
160	как в	8	2
161	или напротив	2	2
162	в анекдоте	4	2
163	слова как	2	2
164	здесь не	2	2
165	при котором	2	2
166	а с	2	2
167	именно в	7	2
168	все эти	3	2
169	читательского восприятия	3	2
170	уже говорилось	2	2
171	в себя	2	2
172	от себя	2	2
173	того чтобы	3	2
174	и по	3	2
175	к другому	4	2
176	с ним	4	2
177	или иначе	2	2
178	человеческого бытия	3	2
179	и на	3	2
180	у него	9	2
181	человеческих отношений	5	2
182	но как	2	2
183	в финале	3	2
184	в этой	8	2
185	в равной	3	2
186	о том	12	2
187	и это	4	2
