N	2gram	Tiupa_Lite_2	Sovremen
1	не может	9	17
2	точки зрения	4	12
3	может быть	17	12
4	мы не	4	9
5	в каждом	2	8
6	в этом	9	7
7	и в	19	7
8	и не	11	6
9	как и	10	6
10	в результате	2	6
11	ничего не	3	6
12	прежде всего	4	5
13	и наконец	2	5
14	с точки	3	5
15	как бы	2	4
16	в целом	2	4
17	жизни и	4	4
18	вместе с	5	4
19	а в	3	4
20	не только	8	4
21	в том	10	4
22	из них	2	4
23	так как	3	4
24	уже в	2	3
25	все же	2	3
26	отнюдь не	4	3
27	в конце	2	3
28	то же	12	3
29	в нем	3	3
30	а не	20	3
31	и к	2	3
32	для нас	2	3
33	у нас	5	3
34	не в	4	3
35	в этой	3	3
36	одна из	5	3
37	еще не	2	3
38	при этом	6	3
39	было бы	2	3
40	и т.д	7	3
41	в одном	2	3
42	как он	2	3
43	в себе	6	3
44	в области	4	3
45	но в	2	3
46	ведь это	2	3
47	не менее	6	2
48	у него	2	2
49	в нашем	2	2
50	то и	3	2
51	тем же	3	2
52	с одной	7	2
53	в третьем	2	2
54	уже не	2	2
55	и что	2	2
56	мы с	3	2
57	из которых	2	2
58	и даже	8	2
59	тем не	2	2
60	той же	2	2
61	такой же	3	2
62	на этом	2	2
63	могут быть	2	2
64	что в	4	2
65	тот же	2	2
66	такого рода	9	2
67	в его	4	2
