N	3gram	Vinokur_Ku_2	Dialekti
1	и т д	14	15
2	по крайней мере	6	9
3	с точки зрения	8	8
4	в том что	10	6
5	то же время	3	4
6	то или иное	2	4
7	с другой стороны	7	4
8	в связи с	3	4
9	в самом деле	7	3
10	в то же	3	3
11	по себе не	2	3
12	можно сказать что	2	3
13	не может быть	4	3
14	в зависимости от	4	2
15	не только в	4	2
16	тем не менее	5	2
17	и т п	24	2
18	само по себе	5	2
19	может быть только	2	2
20	не говоря уже	2	2
21	в широком смысле	2	2
22	во всяком случае	5	2
23	говоря уже о	2	2
24	потому что он	2	2
25	так или иначе	2	2
