N	2gram	Tiupa_Narr_2	SlovoVZh
1	не может	8	16
2	точки зрения	5	14
3	может быть	10	14
4	и его	3	13
5	как бы	6	13
6	таким образом	5	12
7	и в	13	12
8	в нашем	2	11
9	отношению к	5	11
10	по отношению	5	11
11	и не	14	10
12	если бы	4	9
13	прежде всего	6	8
14	для нас	2	7
15	сказать что	3	7
16	в нем	5	6
17	в процессе	2	6
18	при этом	14	6
19	в том	14	6
20	только в	11	6
21	в ней	2	6
22	в жизни	6	5
23	то что	8	5
24	должна быть	2	5
25	никогда не	6	5
26	а не	17	5
27	можно сказать	6	5
28	то же	4	5
29	хотя бы	2	5
30	как и	4	5
31	том что	13	5
32	отнюдь не	4	5
33	как в	5	5
34	героя и	2	5
35	но в	6	5
36	и к	6	4
37	все же	6	4
38	жизни и	4	4
39	высказывания как	2	4
40	так и	9	4
41	с другой	5	4
42	на самом	2	4
43	уже не	4	4
44	в литературе	4	4
45	не в	8	4
46	в этом	13	4
47	в самом	2	4
48	не только	26	4
49	в котором	5	3
50	и уже	4	3
51	и более	2	3
52	не к	4	3
53	не менее	4	3
54	в своей	4	3
55	как к	3	3
56	и по	3	3
57	все эти	3	3
58	но и	15	3
59	того что	6	3
60	тем не	5	3
61	да и	3	3
62	так же	2	3
63	самом деле	3	3
64	мы не	2	3
65	о том	5	3
66	в себе	8	3
67	для него	4	3
68	еще не	2	3
69	только на	2	3
70	и для	3	3
71	внутренней речи	3	3
72	здесь не	2	3
73	с ним	4	3
74	но для	2	3
75	между тем	3	3
76	место в	5	2
77	жизненной ситуации	2	2
78	с этой	3	2
79	зависит от	2	2
80	с его	3	2
81	что и	2	2
82	в душе	2	2
83	что в	4	2
84	данном случае	6	2
85	а к	3	2
86	на него	5	2
87	между собой	3	2
88	в форме	5	2
89	в своем	6	2
90	точку зрения	3	2
91	в какой	4	2
92	это не	3	2
93	дело с	2	2
94	мы имеем	3	2
95	и все	4	2
96	тому же	4	2
97	жизнью и	2	2
98	с одной	5	2
99	те же	2	2
100	в себя	4	2
101	и что	2	2
102	едва ли	3	2
103	но зато	2	2
104	с точки	2	2
105	и здесь	2	2
106	как на	2	2
107	для других	3	2
108	но это	2	2
109	в данном	10	2
110	но не	3	2
111	в то	5	2
112	одной стороны	5	2
113	подчеркнуть что	2	2
114	имеет место	2	2
115	как уже	2	2
116	оно не	2	2
117	в чем	2	2
118	как это	4	2
119	ничего не	6	2
120	к его	3	2
121	он не	5	2
122	в его	6	2
