N	2gram	Vinokur_Vv_1	slovoVRo
1	и в	27	41
2	в нем	13	30
3	и т	43	28
4	т п	5	23
5	могут быть	4	19
6	во всех	2	17
7	но и	5	16
8	и не	13	16
9	точки зрения	7	16
10	языка в	4	16
11	не только	21	16
12	а не	3	15
13	то же	8	14
14	может быть	24	14
15	и др	2	14
16	не может	13	14
17	и его	5	14
18	и на	3	14
19	в то	5	14
20	в сущности	3	13
21	в его	10	13
22	же время	5	12
23	до конца	3	12
24	как бы	5	12
25	языка и	12	12
26	в этом	34	12
27	язык и	3	10
28	в той	7	10
29	языков и	2	9
30	таким образом	19	9
31	все эти	3	9
32	себя в	2	9
33	прежде всего	8	8
34	в особенности	4	8
35	но в	10	8
36	как мы	9	8
37	с точки	2	8
38	не в	8	7
39	отношение к	3	7
40	вовсе не	6	7
41	в своей	4	7
42	языков в	3	7
43	все же	8	7
44	во всяком	3	7
45	в отношении	2	6
46	того же	3	6
47	это не	8	6
48	при этом	3	6
49	и даже	5	6
50	а в	5	6
51	в них	4	6
52	слова как	2	6
53	только в	13	6
54	отношении к	2	6
55	с другой	8	5
56	в самом	12	5
57	всяком случае	3	5
58	все это	6	5
59	т д	37	5
60	к нему	2	5
61	преимущественно в	2	4
62	или меньшей	2	4
63	в каждом	4	4
64	большей или	2	4
65	одной стороны	4	4
66	одним из	5	4
67	в ней	3	4
68	один из	6	4
69	в их	11	4
70	с одной	4	4
71	рядом с	2	4
72	и с	2	4
73	единого и	2	4
74	не как	3	4
75	лежит в	2	4
76	языка как	2	4
77	как и	5	4
78	еще не	4	4
79	том же	2	4
80	на почве	5	4
81	быть и	2	4
82	входит в	2	4
83	другой стороны	5	4
84	и для	4	4
85	ничего не	2	4
86	не могут	5	3
87	никогда не	3	3
88	хотя бы	5	3
89	из этих	5	3
90	язык как	3	3
91	к тому	4	3
92	в том	31	3
93	лишь как	2	3
94	и сам	2	3
95	в большей	7	3
96	из них	3	3
97	как сказано	2	3
98	данном случае	5	3
99	в своем	3	3
100	в разных	5	3
101	именно в	8	3
102	и других	3	3
103	того что	12	3
104	как такового	2	3
105	вообще не	3	3
106	также и	16	3
107	в результате	3	3
108	в истории	9	3
109	о том	15	3
110	его в	6	3
111	в первом	5	3
112	так как	13	3
113	с этим	2	3
114	языка а	2	3
115	в себе	4	3
116	с этой	4	3
117	по существу	2	3
118	в качестве	7	3
119	было бы	5	3
120	одной из	3	3
121	в свое	2	3
122	языка на	2	3
123	бы и	2	3
124	в данном	11	3
125	и ее	4	3
126	как оно	3	3
127	связана с	4	2
128	же как	3	2
129	в частности	3	2
130	известном смысле	3	2
131	тому что	2	2
132	этом случае	6	2
133	можно сказать	3	2
134	в известной	3	2
135	в широком	7	2
136	так что	5	2
137	на этом	3	2
138	смысле слова	7	2
139	например в	2	2
140	такого рода	2	2
141	сливается с	3	2
142	и той	2	2
143	для того	21	2
144	хотя и	3	2
145	между ними	2	2
146	и тем	5	2
147	в целом	5	2
148	в этих	3	2
149	от других	2	2
150	на том	3	2
151	уже не	5	2
152	имеет дело	5	2
153	языка или	2	2
154	произведения и	2	2
155	должно быть	2	2
156	так же	3	2
157	и те	2	2
158	широком смысле	8	2
159	сказать что	5	2
160	потому что	14	2
161	именно как	3	2
162	свое выражение	3	2
163	между тем	8	2
164	в чисто	4	2
165	в известном	3	2
166	не исчерпывается	2	2
167	а как	3	2
168	нисколько не	3	2
169	в котором	4	2
170	как увидим	2	2
171	первом случае	2	2
172	дело не	3	2
173	в одном	4	2
174	к этому	3	2
175	у нас	2	2
176	том что	26	2
177	не с	2	2
178	одна из	2	2
179	но не	7	2
180	по своему	5	2
181	до сих	5	2
182	а также	3	2
183	сих пор	5	2
184	с ней	2	2
185	в ее	11	2
186	как раз	4	2
187	только на	3	2
188	не есть	4	2
189	речь в	4	2
190	той же	4	2
191	мы не	2	2
192	можно было	7	2
193	и то	5	2
194	от этого	5	2
195	в виде	4	2
196	в другом	3	2
197	на протяжении	2	2
198	связи с	3	2
199	и вообще	3	2
200	здесь не	2	2
