N	2gram	Losev_Prob_1	VeschiIm
1	не есть	29	49
2	вещи есть	31	38
3	не может	8	33
4	не только	17	31
5	может быть	14	29
6	и не	31	28
7	и в	32	26
8	то что	42	24
9	вещи и	12	24
10	и есть	6	23
11	значит что	3	22
12	и т	11	21
13	т д	10	20
14	а не	15	20
15	не просто	23	18
16	есть только	8	17
17	и следовательно	3	15
18	что она	5	14
19	только в	7	14
20	и что	9	13
21	того что	7	13
22	самой вещи	2	13
23	по себе	15	13
24	что это	3	12
25	смысл вещи	3	12
26	было бы	8	12
27	но и	9	12
28	сказать что	13	12
29	есть не	6	12
30	и то	6	12
31	и ее	8	12
32	вещи но	3	12
33	что же	9	11
34	таким образом	6	11
35	то же	10	10
36	уже не	3	10
37	как бы	14	10
38	потому что	16	10
39	что мы	13	10
40	вещи как	3	10
41	не значит	2	10
42	есть нечто	11	10
43	что такое	6	10
44	вещи не	5	9
45	в том	9	9
46	в самом	6	9
47	и с	2	9
48	прежде всего	10	9
49	что не	3	9
50	еще и	5	9
51	иное как	2	8
52	она есть	5	8
53	на то	8	8
54	но это	8	8
55	что иное	2	8
56	не что	2	8
57	в себе	15	8
58	смысл и	3	8
59	и это	9	8
60	ничего не	10	8
61	совершенно не	6	7
62	что оно	3	7
63	также и	11	7
64	говорить о	6	7
65	в то	6	7
66	его в	6	7
67	так как	11	7
68	том что	12	7
69	есть и	3	7
70	указывает на	14	7
71	от всего	3	7
72	не будет	2	7
73	как раз	13	7
74	и пр	4	7
75	д и	4	7
76	с другими	2	7
77	в этом	19	7
78	так что	6	6
79	и как	6	6
80	это есть	9	6
81	что они	3	6
82	есть ни	5	6
83	но что	2	6
84	что в	12	6
85	для него	2	6
86	но если	2	6
87	и только	4	6
88	должно быть	2	6
89	в результате	2	6
90	точки зрения	3	6
91	когда мы	8	6
92	но в	14	6
93	по крайней	2	6
94	ясно что	3	6
95	необходимо чтобы	3	6
96	она не	2	6
97	крайней мере	2	6
98	если мы	11	6
99	с ним	3	6
100	можно было	3	6
101	не менее	19	5
102	содержит в	7	5
103	в отношении	3	5
104	и явление	3	5
105	вообще не	2	5
106	это не	6	5
107	тем не	18	5
108	не в	4	5
109	еще не	9	5
110	и до	2	5
111	для этого	3	5
112	только и	3	5
