N	2gram	Berdyaev_M_1	Literetu
1	а не	25	20
2	и в	28	19
3	может быть	30	17
4	и не	11	11
5	в том	6	10
6	как и	5	10
7	но и	25	10
8	не может	28	9
9	в мире	10	9
10	в этом	20	9
11	в то	2	9
12	не только	29	8
13	том что	3	7
14	то что	5	7
15	в себе	7	6
16	себя в	3	6
17	и на	6	6
18	у нас	5	5
19	но не	8	5
20	он не	24	5
21	вместе с	6	5
22	того что	7	5
23	то есть	3	5
24	что в	10	4
25	жизни в	2	4
26	прежде всего	10	4
27	не в	16	4
28	для него	11	4
29	в ней	15	4
30	в его	9	4
31	еще в	2	4
32	один из	4	4
33	жизни и	2	4
34	человека в	13	4
35	по отношению	2	4
36	тем что	4	4
37	точки зрения	4	4
38	никогда не	14	3
39	быть может	7	3
40	о себе	3	3
41	личности в	2	3
42	что он	10	3
43	в нем	13	3
44	и как	2	3
45	одним из	2	3
46	в начале	2	3
47	в этой	6	3
48	и он	12	3
49	этот путь	3	3
50	в пути	2	3
51	отношению к	2	3
52	себе и	2	3
53	в их	4	3
54	и для	2	3
55	так как	3	3
56	а в	4	3
57	и его	9	3
58	и с	3	3
59	ничего не	3	3
60	на этом	3	2
61	уже в	4	2
62	не было	18	2
63	с тем	9	2
64	у него	17	2
65	себя и	3	2
66	вокруг которого	2	2
67	нового человека	2	2
68	в них	4	2
69	него не	2	2
70	с этой	4	2
71	в конце	7	2
72	в виду	2	2
73	в жизни	3	2
74	и к	2	2
75	для нас	3	2
76	в ее	3	2
77	все что	2	2
78	и нет	2	2
79	ведь это	2	2
80	до конца	14	2
81	было бы	10	2
82	нет в	4	2
83	не так	3	2
84	как бы	2	2
85	был бы	10	2
86	что и	4	2
87	как он	2	2
88	все же	2	2
89	не к	4	2
90	могут быть	2	2
91	в истории	2	2
92	мысли и	2	2
93	быть не	2	2
94	уже не	4	2
95	и что	2	2
96	для того	2	2
97	хотя бы	3	2
98	не знает	4	2
99	потому что	16	2
100	в основе	2	2
101	одно из	3	2
102	даже и	2	2
103	во имя	10	2
104	он и	2	2
105	и еще	3	2
106	о том	2	2
107	в россии	2	2
108	к этой	2	2
109	с ним	2	2
110	в него	3	2
111	но в	7	2
