N	2gram	Losev_Vlad_3	PoTuStor
1	может быть	8	17
2	и в	40	16
3	прежде всего	10	9
4	таким образом	11	9
5	в этом	16	9
6	и только	3	9
7	совершенно не	2	8
8	и его	10	8
9	и с	9	8
10	точки зрения	13	8
11	не может	14	8
12	с его	2	7
13	сказать что	12	7
14	не только	25	7
15	и это	6	6
16	и к	2	6
17	с точки	6	6
18	для него	8	6
19	при этом	3	6
20	все эти	5	5
21	в чем	3	5
22	ни в	10	5
23	еще не	4	5
24	как бы	3	5
25	в нем	3	4
26	отнюдь не	5	4
27	но и	18	4
28	так и	6	4
29	хотя бы	6	4
30	и все	4	4
31	так как	7	4
32	и не	25	4
33	на самом	3	4
34	как мы	8	4
35	но мы	2	4
36	и наконец	2	4
37	и даже	6	4
38	и на	6	4
39	в этой	8	4
40	только в	13	4
41	его в	2	4
42	но в	4	4
43	в его	14	4
44	мы знаем	3	3
45	в этих	2	3
46	что в	17	3
47	вместе с	7	3
48	даже не	3	3
49	отношения к	5	3
50	в одном	5	3
51	этом смысле	3	3
52	учение о	24	3
53	и притом	3	3
54	в том	18	3
55	а в	7	3
56	том что	18	3
57	и как	7	3
58	с их	3	3
59	то что	28	3
60	только на	5	3
61	но оно	2	3
62	едва ли	11	3
63	как это	4	3
64	во всяком	3	3
65	в основном	4	3
66	и потому	10	3
67	всяком случае	3	3
68	не существует	2	2
69	и этот	2	2
70	не менее	9	2
71	ее в	3	2
72	этих трех	3	2
73	не могут	2	2
74	что и	7	2
75	не есть	10	2
76	нечего и	2	2
77	же как	3	2
78	не будет	6	2
79	как не	2	2
80	потому и	2	2
81	никогда не	11	2
82	если мы	4	2
83	находится в	3	2
84	того же	2	2
85	оно не	3	2
86	с этой	2	2
87	и так	2	2
88	из этих	3	2
89	с этим	2	2
90	в жизни	2	2
91	то же	4	2
92	к этому	2	2
93	только и	5	2
94	сводится к	3	2
95	что он	5	2
96	мы не	2	2
97	в одно	2	2
98	здесь же	2	2
99	что на	2	2
100	что мы	2	2
101	на первый	2	2
102	у него	24	2
103	и по	2	2
104	и для	3	2
105	для нас	5	2
106	в этот	2	2
107	как и	7	2
108	так же	8	2
109	но это	6	2
110	путь к	2	2
111	мы уже	5	2
112	это последнее	2	2
113	совсем не	5	2
114	не на	2	2
115	знаем что	2	2
116	все и	2	2
117	он не	8	2
118	как с	2	2
119	есть и	4	2
120	в каком	4	2
121	не можем	2	2
122	в начале	2	2
123	и вообще	3	2
124	было бы	4	2
125	что это	9	2
126	все то	3	2
127	всего а	2	2
128	и вся	2	2
129	о том	11	2
130	в самом	4	2
131	но как	2	2
132	за пределы	3	2
133	в своей	9	2
134	только то	2	2
135	и о	4	2
