N	2gram	Tiupa_Narr_1	Sovremen
1	не может	8	17
2	точки зрения	5	12
3	может быть	15	12
4	мы не	3	9
5	в этом	12	7
6	и в	11	7
7	и не	23	6
8	как и	13	6
9	в результате	2	6
10	мы можем	2	6
11	ничего не	2	6
12	прежде всего	4	5
13	как бы	6	4
14	в целом	3	4
15	жизни и	6	4
16	вместе с	2	4
17	в зависимости	2	4
18	это не	3	4
19	а в	13	4
20	не только	31	4
21	в том	8	4
22	их в	3	4
23	из них	4	4
24	зависимости от	2	4
25	все же	4	3
26	отнюдь не	2	3
27	между собой	2	3
28	не подлежит	2	3
29	в конце	2	3
30	то же	8	3
31	на две	2	3
32	в нем	4	3
33	а не	13	3
34	у нас	3	3
35	не в	6	3
36	в этой	6	3
37	одна из	4	3
38	еще не	4	3
39	при этом	19	3
40	и т.д	6	3
41	в одном	4	3
42	и все	3	3
43	в первом	4	3
44	в себе	6	3
45	в области	2	3
46	но в	7	3
47	так сказать	2	2
48	этих двух	2	2
49	не менее	3	2
50	у него	7	2
51	быть и	2	2
52	в нашем	3	2
53	в отличие	2	2
54	из этих	4	2
55	тем же	2	2
56	в третьем	4	2
57	как мы	2	2
58	уже не	8	2
59	в свою	2	2
60	или иной	4	2
61	самом деле	3	2
62	роль в	2	2
63	к чему	3	2
64	и даже	2	2
65	тем не	3	2
66	она может	2	2
67	в таком	2	2
68	во всяком	2	2
69	свою очередь	2	2
70	времени и	9	2
71	а на	2	2
72	как известно	3	2
73	что в	3	2
74	же самое	2	2
75	такого рода	10	2
76	в самом	6	2
77	отличие от	2	2
78	в его	6	2
79	всяком случае	2	2
