N	2gram	Propp_Isto_5	Mirosoze
1	может быть	17	30
2	не только	13	29
3	и в	25	28
4	не может	6	28
5	но и	13	25
6	а не	2	25
7	он не	4	24
8	в этом	10	20
9	у него	2	17
10	не в	6	16
11	потому что	7	16
12	в ней	5	15
13	в своей	2	15
14	никогда не	3	14
15	человека и	2	14
16	в нем	7	13
17	человека в	3	13
18	и он	6	12
19	и это	4	12
20	и не	11	11
21	что в	8	10
22	прежде всего	6	10
23	и все	3	10
24	что он	22	10
25	и потому	2	10
26	но он	2	9
27	с тем	8	9
28	в его	12	9
29	и его	9	9
30	но не	5	8
31	того что	2	7
32	к нему	3	7
33	в том	6	6
34	в этой	3	6
35	все это	4	6
36	и на	8	6
37	вместе с	22	6
38	только в	7	6
39	в которой	4	6
40	это не	6	5
41	как и	7	5
42	то что	7	5
43	уже в	2	4
44	в этих	6	4
45	с этой	2	4
46	не знал	2	4
47	и вместе	2	4
48	иной мир	6	4
49	и по	2	4
50	а в	3	4
51	в которых	3	4
52	точки зрения	2	4
53	не как	4	4
54	один из	2	4
55	она не	2	4
56	что и	6	4
57	уже не	11	4
58	тем что	10	4
59	значит что	2	4
60	для нас	5	3
61	это значит	2	3
62	в него	5	3
63	в свете	3	3
64	его не	3	3
65	особенно в	2	3
66	с этим	5	3
67	его в	9	3
68	так как	11	3
69	и с	3	3
70	на этом	3	3
71	в ее	4	3
72	том что	8	3
73	ничего не	2	3
74	мы увидим	5	3
75	на том	3	3
76	в иной	7	3
77	себя в	6	3
78	когда он	2	3
79	когда человек	2	3
80	все его	2	3
81	этот случай	3	2
82	вопрос о	2	2
83	живет в	5	2
84	в ином	3	2
85	в свою	3	2
86	о чем	2	2
87	для того	3	2
88	и мы	2	2
89	одним из	2	2
90	жизни и	2	2
91	могут быть	6	2
92	по отношению	2	2
93	все эти	8	2
94	и что	8	2
95	потому ли	2	2
96	сказать что	2	2
97	в более	3	2
98	в истории	4	2
99	как бы	2	2
100	о том	7	2
101	с ним	4	2
102	у которых	2	2
103	а как	2	2
104	если бы	2	2
105	него и	5	2
106	в иное	5	2
107	только один	3	2
108	к этому	2	2
109	во власти	2	2
110	отношению к	2	2
111	мы видим	8	2
112	в то	3	2
113	связано с	5	2
114	до сих	2	2
115	он живет	3	2
116	никто не	3	2
117	о нем	3	2
118	же можно	4	2
119	еще в	2	2
120	должен быть	2	2
121	все же	10	2
122	с ней	2	2
123	сих пор	2	2
124	как в	6	2
125	оказывается что	2	2
126	прийти к	2	2
127	в наше	2	2
128	входит в	5	2
129	т е	16	2
130	и она	3	2
131	того чтобы	3	2
132	и как	3	2
133	и для	2	2
134	от этого	4	2
135	свою противоположность	2	2
