N	2gram	Bakhtin_fo_1	Dialekti
1	и не	14	27
2	а не	3	26
3	точки зрения	5	25
4	и в	50	24
5	и т	8	24
6	не только	9	23
7	по себе	2	20
8	не может	6	19
9	ничего не	9	17
10	что все	2	14
11	в таком	3	14
12	то что	6	14
13	с точки	2	14
14	может быть	11	13
15	таким образом	11	13
16	и даже	2	13
17	вовсе не	13	13
18	того что	2	12
19	есть только	2	12
20	не имеет	4	11
21	отнюдь не	5	10
22	в сущности	3	10
23	ни в	8	9
24	но и	8	9
25	нет ничего	4	9
26	есть не	3	9
27	прежде всего	15	8
28	и как	10	8
29	что мы	2	8
30	том что	4	8
31	в этом	25	8
32	что в	5	7
33	никогда не	2	7
34	и нет	2	7
35	в самом	8	7
36	в особенности	9	7
37	потому что	4	7
38	в виду	3	7
39	ясно что	2	7
40	как и	8	7
41	только на	3	7
42	как раз	13	7
43	кроме того	4	6
44	все это	4	6
45	и с	4	6
46	так как	6	6
47	если бы	5	6
48	и все	6	6
49	об этом	2	6
50	есть именно	2	6
51	оно не	2	6
52	что и	3	6
53	даже не	2	6
54	то же	11	6
55	в том	9	5
56	хотя и	3	5
57	жизни и	8	5
58	и его	16	5
59	или не	2	5
60	одно из	3	5
61	в то	9	5
62	в них	4	5
63	вопрос о	2	5
64	тогда когда	2	5
65	и к	2	5
66	одно и	3	5
67	было бы	2	5
68	он не	5	5
69	так и	12	5
70	уже не	2	5
71	что не	3	5
72	мы не	3	5
73	личности и	2	5
74	только в	4	5
75	с другой	2	4
76	это не	6	4
77	не могут	3	4
78	то время	4	4
79	или иной	2	4
80	к тому	3	4
81	хотя бы	2	4
82	можно только	2	4
83	так же	6	4
84	время как	5	4
85	сказать что	3	4
86	нет и	2	4
87	в истории	2	4
88	конечно не	4	4
89	в чем	2	4
90	жизнь и	4	4
91	и то	4	4
92	мы и	4	4
93	и это	4	4
94	для него	2	4
95	не было	7	3
96	все же	6	3
97	в своем	4	3
98	была бы	2	3
99	не в	5	3
100	есть в	2	3
101	а мы	2	3
102	же время	9	3
103	одной стороны	2	3
104	в основе	5	3
105	в нем	24	3
106	с одной	3	3
107	все эти	9	3
108	друг друга	3	3
109	и на	8	3
110	мир в	2	3
111	с этим	6	3
112	именно как	4	3
113	мы уже	11	3
114	во всем	2	3
115	мир и	2	3
116	ни к	3	3
117	тем что	2	3
118	он должен	2	3
119	на себя	2	3
120	одна из	2	3
121	но она	2	3
122	как бы	2	3
123	быть и	2	3
124	и прежде	2	3
125	для того	5	3
126	раз и	2	3
127	той же	2	3
128	в каком	2	3
129	и ее	3	3
130	не знает	3	3
131	но на	4	2
132	же как	2	2
133	в частности	6	2
134	вообще не	3	2
135	для нас	2	2
136	тому же	2	2
137	лишь как	2	2
138	еще не	5	2
139	при этом	3	2
140	этот ряд	5	2
141	например в	6	2
142	но для	2	2
143	не о	2	2
144	и следовательно	4	2
145	той или	2	2
146	и является	2	2
147	себя и	3	2
148	совершенно не	2	2
149	и уже	3	2
150	не имеют	3	2
151	того и	2	2
152	еще и	2	2
153	именно в	3	2
154	только и	5	2
155	они не	3	2
156	и по	2	2
157	а в	3	2
158	же и	2	2
159	быть только	3	2
160	также и	2	2
161	их в	3	2
162	в ней	4	2
163	для себя	7	2
164	и потому	3	2
165	но в	10	2
166	но они	3	2
167	с его	9	2
168	у него	6	2
169	из нее	2	2
170	и во	7	2
171	исторического процесса	2	2
172	в их	6	2
173	в условиях	7	2
174	же в	3	2
175	по существу	12	2
176	но не	5	2
177	со всеми	3	2
178	никто не	2	2
179	только к	3	2
180	природы и	2	2
181	на них	2	2
182	ее в	2	2
183	всего этого	2	2
184	разного рода	2	2
185	как мы	14	2
186	и у	5	2
187	пространства и	4	2
188	и для	4	2
189	или в	3	2
190	нас в	3	2
191	в данном	2	2
192	во всяком	3	2
193	могут быть	5	2
194	в себе	3	2
195	и вообще	2	2
196	его на	2	2
197	в его	13	2
