N	2gram	Tiupa_Narr_1	Problema
1	и в	11	30
2	в своей	5	22
3	то есть	9	21
4	то что	9	18
5	не только	31	18
6	том что	7	17
7	в этом	12	17
8	и даже	2	14
9	но и	27	13
10	потому что	5	13
11	в том	8	12
12	в его	6	12
13	и не	23	12
14	также и	3	12
15	о том	4	12
16	в своем	3	11
17	у него	7	11
18	точки зрения	5	10
19	в этой	6	10
20	все же	4	9
21	который в	2	9
22	сказать что	2	9
23	но в	7	9
24	только в	12	9
25	и все	3	9
26	в конце	2	8
27	никак не	2	8
28	хотя и	4	8
29	никогда не	4	7
30	что он	3	7
31	у нас	3	7
32	как и	13	7
33	связи с	2	7
34	но не	4	7
35	может быть	15	7
36	вместе с	2	7
37	так и	5	7
38	в связи	2	7
39	не в	6	7
40	здесь не	2	7
41	в результате	2	7
42	с другой	2	6
43	прежде всего	4	6
44	можно сказать	5	6
45	уже не	8	6
46	и как	3	6
47	и для	2	6
48	как бы	6	6
49	в нем	4	6
50	другой стороны	2	6
51	а в	13	6
52	и его	10	6
53	и на	5	6
54	не менее	3	5
55	что в	3	5
56	что у	4	5
57	тем не	3	5
58	в самом	6	5
59	и о	3	5
60	еще в	3	5
61	не может	8	5
62	в году	2	5
63	а не	13	5
64	и притом	2	5
65	и то	3	5
66	он и	2	5
67	как раз	6	5
68	и с	3	5
69	мы можем	2	5
70	если не	2	4
71	в частности	14	4
72	отнюдь не	2	4
73	жизни в	2	4
74	об этом	6	4
75	при этом	19	4
76	в качестве	14	4
77	а его	2	4
78	не мог	6	4
79	и он	6	4
80	или в	6	4
81	нас в	2	4
82	в себе	6	4
83	в то	4	4
84	едва ли	3	4
85	он сам	3	3
86	для них	2	3
87	именно в	3	3
88	однако в	3	3
89	не всегда	3	3
90	же в	2	3
91	не столь	2	3
92	в начале	3	3
93	как будто	3	3
94	еще не	4	3
95	для того	3	3
96	и самого	2	3
97	он не	3	3
98	а также	6	3
99	в русской	3	3
100	и тем	4	3
101	того что	4	3
102	тем же	2	3
103	к нему	4	3
104	внимание на	4	3
105	и после	2	3
106	в ней	4	3
107	что касается	2	3
108	с ним	2	3
109	в одном	4	3
110	мира в	4	3
111	по мысли	3	2
112	это уже	3	2
113	хотя бы	2	2
114	как в	4	2
115	это не	3	2
116	во втором	6	2
117	один из	6	2
118	по себе	4	2
119	на то	2	2
120	к тому	6	2
121	то же	8	2
122	как мы	2	2
123	да и	2	2
124	раз в	2	2
125	ли не	2	2
126	не будет	2	2
127	и сама	2	2
128	в свою	2	2
129	до сих	2	2
130	жизни и	6	2
131	в данном	11	2
132	что не	2	2
133	мы имеем	3	2
134	такого рода	10	2
135	за ними	3	2
136	но для	3	2
137	чем иным	2	2
138	в роли	2	2
139	и является	2	2
140	всяком случае	2	2
141	отношению к	3	2
142	из них	4	2
143	в первой	2	2
144	все что	2	2
145	данном случае	8	2
146	человеческой жизни	2	2
147	и тогда	2	2
148	по отношению	3	2
149	и только	2	2
150	мы не	3	2
151	самом деле	3	2
152	того чтобы	4	2
153	в таком	2	2
154	во всяком	2	2
155	между тем	3	2
156	иным как	2	2
157	дело в	2	2
158	в чем	2	2
159	в области	2	2
160	ничего не	2	2
161	сих пор	2	2
