N	3gram	Vinokur_Vv_1	KulturaY
1	и т п	5	41
2	с точки зрения	2	16
3	в самом деле	5	11
4	для того чтобы	21	11
5	можно было бы	3	10
6	тем не менее	8	9
7	в том что	12	8
8	и т д	37	8
9	до сих пор	5	8
10	в данном случае	4	4
11	и в самом	3	4
12	и в этом	3	4
13	в связи с	2	4
14	с одной стороны	4	4
15	после того как	2	4
16	в этом случае	6	4
17	с другой стороны	5	3
18	и тем не	3	3
19	не только в	4	3
20	не может быть	8	3
21	в том чтобы	5	3
22	не только как	3	3
23	о том что	12	3
24	в отличие от	3	2
25	и того же	2	2
26	как мы видели	2	2
27	сама по себе	3	2
28	только в том	2	2
29	только после того	2	2
30	не в том	2	2
31	в свое время	2	2
32	смысле этого слова	2	2
33	в первом случае	2	2
34	не могут быть	2	2
35	в известном смысле	3	2
36	по отношению к	4	2
37	не говоря уже	2	2
38	принять во внимание	2	2
39	одного и того	2	2
40	в большей степени	2	2
